Name,Age,Season,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Carter McCulley,21,2025,Florida State,17,43,29,7,6,2,0,1,6,2,1,8,11,0.207,0.415,0.379,0.794,11,1,3,2,1,0,,player.fcgi?id=mccull001car
Noah Sheffield,19,2025,Florida State,8,10,8,3,2,0,0,0,2,0,0,2,2,0.25,0.4,0.25,0.65,2,0,0,0,0,0,,player.fcgi?id=sheffi000noa
Jaxson West*,21,2025,Florida State,46,188,148,26,35,5,0,2,17,3,0,30,16,0.236,0.37,0.311,0.68,46,1,3,4,3,0,,player.fcgi?id=west--000jax
Chase Williams#,19,2025,Florida State,32,127,114,17,39,5,2,2,20,18,2,7,31,0.342,0.394,0.474,0.867,54,1,4,0,2,1,,player.fcgi?id=willia034cha
Max Williams*,20,2025,Florida State,57,261,234,47,74,9,0,19,53,2,1,19,42,0.316,0.383,0.598,0.981,140,5,7,0,1,1,,player.fcgi?id=willia004max
Dominic Attanasio?,--,2011,Clemson,32,65,59,11,22,2,1,1,11,3,2,6,11,0.373,0.431,0.492,0.922,29,,0,0,0,,,player.fcgi?id=attana000dom
Kevin Caughman?,--,2011,Clemson,9,9,8,0,1,1,0,0,1,0,0,1,3,0.125,0.222,0.25,0.472,2,,0,0,0,,,player.fcgi?id=caughm000kev
Joe Costigan?,--,2011,Clemson,14,14,8,2,2,0,0,0,4,0,0,3,2,0.25,0.571,0.25,0.821,2,,3,0,0,,,player.fcgi?id=costig000joe
Jay Cox?,--,2011,Clemson,8,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.25,0.273,0.523,3,,0,0,0,,,player.fcgi?id=cox---002jay
Mike Dunster?,--,2011,Clemson,12,16,12,6,6,1,0,0,2,0,0,4,3,0.5,0.625,0.583,1.208,7,,0,0,0,,,player.fcgi?id=dunste000mik
Chris Epps*,22,2011,Clemson,61,245,195,44,57,6,2,10,42,11,3,41,58,0.292,0.422,0.497,0.92,97,,5,1,3,,,player.fcgi?id=epps--001chr
Jake Fletcher?,--,2011,Clemson,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,player.fcgi?id=fletch000jak
John Hinson*,22,2011,Clemson,60,280,245,62,81,12,3,9,41,23,6,24,34,0.331,0.388,0.514,0.902,126,,2,4,5,,,player.fcgi?id=hinson002joh
Addison Johnson*,23,2011,Clemson,21,36,34,3,6,1,0,0,1,2,0,1,4,0.176,0.2,0.206,0.406,7,,0,1,0,,,player.fcgi?id=johnso001add
Spencer Kieboom,20,2011,Clemson,53,206,170,22,48,10,0,1,31,0,0,22,13,0.282,0.365,0.359,0.723,61,,4,3,7,,,player.fcgi?id=kieboo000spe
Will Lamb*,20,2011,Clemson,62,254,227,46,79,11,4,3,39,13,4,18,43,0.348,0.389,0.471,0.86,107,,1,2,6,,,player.fcgi?id=lamb--000wil
Jon McGibbon*,18,2011,Clemson,43,81,62,8,21,4,0,1,14,1,0,14,17,0.339,0.463,0.452,0.914,28,,2,1,2,,,player.fcgi?id=mcgibb001jon
Brad Miller*,21,2011,Clemson,56,243,195,53,77,11,3,5,50,21,5,40,34,0.395,0.498,0.559,1.057,109,,3,2,3,,,player.fcgi?id=miller005bra
Philip Pohl,20,2011,Clemson,60,261,228,43,76,22,0,4,33,5,2,17,29,0.333,0.391,0.482,0.874,110,,8,3,5,,,player.fcgi?id=pohl--001phi
Jeff Schaus*,22,2011,Clemson,63,280,229,43,74,20,2,0,43,10,8,41,15,0.323,0.427,0.428,0.854,98,,4,1,5,,,player.fcgi?id=schaus001jef
Richie Shaffer,20,2011,Clemson,63,276,222,62,70,15,2,13,55,8,1,44,53,0.315,0.438,0.577,1.015,128,,7,0,3,,,player.fcgi?id=shaffe002ric
Jason Stolz,21,2011,Clemson,63,231,194,30,55,10,0,1,27,8,1,17,36,0.284,0.348,0.351,0.699,68,,5,10,5,,,player.fcgi?id=stolz-001jas
Jon Surber?,--,2011,Clemson,9,4,4,1,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,1,,0,0,0,,,player.fcgi?id=surber000jon
Stevie Wilkerson#,19,2011,Clemson,42,65,52,13,9,0,0,0,5,1,2,10,14,0.173,0.308,0.173,0.481,9,,1,0,2,,,player.fcgi?id=wilker002ste
Dominic Attanasio?,--,2012,Clemson,29,66,60,11,11,1,0,0,6,2,1,5,13,0.183,0.258,0.2,0.458,12,,1,0,0,0,,player.fcgi?id=attana000dom
Jay Baum,19,2012,Clemson,54,196,159,24,35,4,1,0,11,7,3,28,19,0.22,0.354,0.258,0.612,41,,5,4,0,1,,player.fcgi?id=baum--000jay
Garrett Boulware,19,2012,Clemson,28,66,56,7,12,2,0,0,2,2,0,5,14,0.214,0.323,0.25,0.573,14,,4,1,0,0,,player.fcgi?id=boulwa000gar
Thomas Brittle?,22,2012,Clemson,58,265,228,43,68,9,8,2,36,15,3,22,32,0.298,0.384,0.434,0.818,99,,11,2,2,0,,player.fcgi?id=brittl000tho
Kevin Caughman?,--,2012,Clemson,3,3,1,0,0,0,0,0,0,0,0,2,1,0,0.667,0,0.667,0,,0,0,0,0,,player.fcgi?id=caughm000kev
Andrew Cleveland?,--,2012,Clemson,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=clevel002and
Joe Costigan?,--,2012,Clemson,30,53,45,5,13,4,0,0,7,0,0,5,9,0.289,0.377,0.378,0.755,17,,2,0,1,0,,player.fcgi?id=costig000joe
Mike Dunster?,--,2012,Clemson,19,35,30,2,7,2,0,0,4,0,0,4,10,0.233,0.324,0.3,0.624,9,,0,1,0,0,,player.fcgi?id=dunste000mik
Brad Felder?,--,2012,Clemson,54,199,175,32,46,8,0,7,26,11,1,19,40,0.263,0.338,0.429,0.767,75,,2,1,2,2,,player.fcgi?id=felder000bra
Spencer Kieboom,21,2012,Clemson,58,234,204,25,51,7,0,3,33,0,0,19,17,0.25,0.314,0.328,0.643,67,,2,5,4,0,,player.fcgi?id=kieboo000spe
Jon McGibbon*,19,2012,Clemson,59,253,215,29,50,8,1,5,33,0,1,27,44,0.233,0.317,0.349,0.666,75,,2,4,5,0,,player.fcgi?id=mcgibb001jon
Philip Pohl,21,2012,Clemson,63,291,255,30,73,11,0,9,58,2,3,18,44,0.286,0.355,0.435,0.79,111,,12,1,5,2,,player.fcgi?id=pohl--001phi
Richie Shaffer,21,2012,Clemson,63,300,232,49,78,21,2,10,46,8,2,63,53,0.336,0.48,0.573,1.053,133,,3,0,2,12,,player.fcgi?id=shaffe002ric
Tyler Slaton?,--,2012,Clemson,47,69,53,15,10,1,0,0,7,6,0,12,17,0.189,0.353,0.208,0.56,11,,2,1,1,0,,player.fcgi?id=slaton000tyl
Jason Stolz,22,2012,Clemson,63,267,237,36,64,11,0,7,26,5,4,19,46,0.27,0.331,0.405,0.736,96,,3,7,1,0,,player.fcgi?id=stolz-001jas
Stevie Wilkerson#,20,2012,Clemson,59,290,258,49,76,13,3,1,31,10,2,22,39,0.295,0.353,0.38,0.733,98,,3,4,3,0,,player.fcgi?id=wilker002ste
Jay Baum,20,2013,Clemson,52,161,136,16,31,4,2,0,8,10,7,17,18,0.228,0.321,0.287,0.607,39,,2,5,1,2,,player.fcgi?id=baum--000jay
Garrett Boulware,20,2013,Clemson,61,257,227,43,70,12,1,8,45,2,0,22,29,0.308,0.377,0.476,0.853,108,,5,0,3,4,,player.fcgi?id=boulwa000gar
Kevin Bradley*,19,2013,Clemson,37,68,56,5,10,1,0,1,6,1,1,8,11,0.179,0.294,0.25,0.544,14,,2,0,2,0,,player.fcgi?id=bradle001kev
Thomas Brittle?,23,2013,Clemson,61,259,216,44,57,5,1,2,26,19,5,32,44,0.264,0.373,0.324,0.697,70,,6,4,1,0,,player.fcgi?id=brittl000tho
Jackson Campana?,--,2013,Clemson,11,3,3,0,1,1,0,0,1,0,0,0,0,0.333,0.333,0.667,1,2,,0,0,0,0,,player.fcgi?id=campan000jac
Joe Costigan?,--,2013,Clemson,27,58,49,5,12,5,1,0,6,0,0,8,13,0.245,0.362,0.388,0.75,19,,1,0,0,0,,player.fcgi?id=costig000joe
Steven Duggar*,19,2013,Clemson,62,279,250,39,75,10,2,2,30,15,7,23,41,0.3,0.359,0.38,0.739,95,,1,3,2,1,,player.fcgi?id=duggar000ste
Mike Dunster?,--,2013,Clemson,14,14,13,2,2,0,0,0,2,0,0,1,5,0.154,0.214,0.154,0.368,2,,0,0,0,0,,player.fcgi?id=dunste000mik
Maleeke Gibson?,--,2013,Clemson,40,120,110,20,25,3,0,0,16,8,1,5,19,0.227,0.271,0.255,0.526,28,,2,2,1,0,,player.fcgi?id=gibson000mal
Shane Kennedy,21,2013,Clemson,62,263,218,47,69,5,4,5,35,22,5,37,48,0.317,0.408,0.445,0.853,97,,0,3,5,0,,player.fcgi?id=kenned002sha
Tyler Krieger#,19,2013,Clemson,62,258,218,28,56,10,1,0,27,9,5,28,30,0.257,0.349,0.312,0.661,68,,4,6,2,2,,player.fcgi?id=kriege000tyl
Jon McGibbon*,20,2013,Clemson,58,238,207,33,59,5,0,0,37,7,1,22,29,0.285,0.363,0.309,0.672,64,,5,1,3,3,,player.fcgi?id=mcgibb001jon
D.J. Reader?,--,2013,Clemson,7,6,3,1,0,0,0,0,0,0,0,2,3,0,0.5,0,0.5,0,,1,0,0,0,,player.fcgi?id=reader000dj-
Matt Reed?,--,2013,Clemson,6,4,4,0,2,1,0,0,2,0,0,0,2,0.5,0.5,0.75,1.25,3,,0,0,0,0,,player.fcgi?id=reed--006mat
Tyler Slaton?,--,2013,Clemson,59,194,160,18,42,4,1,0,13,6,3,23,34,0.263,0.366,0.3,0.666,48,,5,3,3,0,,player.fcgi?id=slaton000tyl
Mike Triller*,20,2013,Clemson,23,32,27,3,9,3,0,0,7,2,1,2,6,0.333,0.367,0.444,0.811,12,,0,2,1,0,,player.fcgi?id=trille000mik
Stevie Wilkerson#,21,2013,Clemson,59,258,227,36,66,16,2,4,37,10,4,27,55,0.291,0.366,0.432,0.797,98,,1,1,2,1,,player.fcgi?id=wilker002ste
Jay Baum,21,2014,Clemson,61,241,215,29,63,16,2,1,29,8,6,19,19,0.293,0.346,0.4,0.746,86,,0,4,3,0,,player.fcgi?id=baum--000jay
Garrett Boulware,21,2014,Clemson,61,267,225,38,68,16,0,4,35,1,2,29,24,0.302,0.38,0.427,0.806,96,,4,1,8,2,,player.fcgi?id=boulwa000gar
Joe Costigan?,--,2014,Clemson,15,16,10,5,1,0,0,0,1,0,0,6,1,0.1,0.438,0.1,0.538,1,,0,0,0,0,,player.fcgi?id=costig000joe
Andrew Cox?,--,2014,Clemson,31,48,40,6,6,1,0,0,2,3,1,5,12,0.15,0.271,0.175,0.446,7,,2,0,1,0,,player.fcgi?id=cox---002and
Steven Duggar*,20,2014,Clemson,61,271,238,45,70,11,3,1,36,25,3,27,51,0.294,0.368,0.378,0.746,90,,2,2,2,2,,player.fcgi?id=duggar000ste
Mike Dunster?,--,2014,Clemson,28,32,31,3,6,0,1,1,3,1,0,1,11,0.194,0.219,0.355,0.574,11,,0,0,0,0,,player.fcgi?id=dunste000mik
Shane Kennedy,22,2014,Clemson,41,146,133,17,29,6,1,1,13,4,3,9,30,0.218,0.276,0.301,0.577,40,,2,1,1,0,,player.fcgi?id=kenned002sha
Tyler Krieger#,20,2014,Clemson,57,255,219,49,74,18,0,2,32,19,4,25,24,0.338,0.41,0.447,0.857,98,,3,6,2,1,,player.fcgi?id=kriege000tyl
Jon McGibbon*,21,2014,Clemson,49,106,86,13,19,5,0,3,18,0,0,14,13,0.221,0.346,0.384,0.73,33,,3,2,1,0,,player.fcgi?id=mcgibb001jon
Chris Okey,19,2014,Clemson,61,258,226,27,56,9,1,4,41,3,2,22,33,0.248,0.311,0.35,0.661,79,,2,1,7,0,,player.fcgi?id=okey--001chr
Tyler Slaton?,--,2014,Clemson,61,291,241,46,66,9,3,3,25,11,5,42,34,0.274,0.391,0.373,0.764,90,,5,2,1,0,,player.fcgi?id=slaton000tyl
Mike Triller*,21,2014,Clemson,21,30,28,5,7,0,0,0,1,2,0,2,8,0.25,0.3,0.25,0.55,7,,0,0,0,0,,player.fcgi?id=trille000mik
Eli White,20,2014,Clemson,28,43,35,3,5,2,0,0,2,1,0,4,13,0.143,0.244,0.2,0.444,7,,1,2,1,0,,player.fcgi?id=white-000eli
Stevie Wilkerson#,22,2014,Clemson,56,236,205,33,65,18,1,6,42,8,1,21,33,0.317,0.383,0.502,0.885,103,,4,1,5,3,,player.fcgi?id=wilker002ste
Weston Wilson,19,2014,Clemson,55,176,154,18,37,5,0,2,23,3,2,15,30,0.24,0.316,0.312,0.627,48,,2,5,0,0,,player.fcgi?id=wilson001wes
Glenn Batson?,--,2015,Clemson,32,84,73,8,16,6,0,1,14,1,0,2,22,0.219,0.277,0.342,0.62,25,,5,1,3,0,,player.fcgi?id=batson000gle
Andrew Cox?,--,2015,Clemson,56,193,173,24,41,6,0,0,9,3,3,13,39,0.237,0.295,0.272,0.566,47,,2,3,2,0,,player.fcgi?id=cox---002and
Steven Duggar*,21,2015,Clemson,61,292,227,56,69,12,1,5,43,10,5,54,49,0.304,0.432,0.432,0.863,98,,3,0,8,0,,player.fcgi?id=duggar000ste
Maleeke Gibson?,--,2015,Clemson,10,7,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=gibson000mal
Robert Jolly?,--,2015,Clemson,25,66,57,12,20,3,0,0,8,0,0,7,6,0.351,0.422,0.404,0.825,23,,0,2,0,0,,player.fcgi?id=jolly-000rob
Tyler Krieger#,21,2015,Clemson,61,290,236,45,80,14,1,1,41,14,4,41,45,0.339,0.448,0.419,0.867,99,,7,4,2,6,,player.fcgi?id=kriege000tyl
Chris Okey,20,2015,Clemson,61,272,235,50,74,16,1,12,57,3,0,27,49,0.315,0.389,0.545,0.934,128,,4,2,4,3,,player.fcgi?id=okey--001chr
Chase Pinder,19,2015,Clemson,46,191,160,18,41,8,1,3,26,2,1,21,22,0.256,0.36,0.375,0.735,60,,6,2,2,0,,player.fcgi?id=pinder001cha
Adam Renwick?,--,2015,Clemson,25,22,20,3,4,1,0,0,1,0,0,1,9,0.2,0.273,0.25,0.523,5,,1,0,0,0,,player.fcgi?id=renwic000ada
Reed Rohlman*,20,2015,Clemson,61,262,236,43,84,17,0,3,58,3,2,23,35,0.356,0.412,0.466,0.878,110,,1,0,2,0,,player.fcgi?id=rohlma000ree
Tyler Slaton?,--,2015,Clemson,61,274,225,50,53,11,5,1,23,9,0,35,38,0.236,0.357,0.342,0.699,77,,8,5,1,0,,player.fcgi?id=slaton000tyl
Mike Triller*,22,2015,Clemson,15,19,17,2,2,0,0,0,0,0,0,2,9,0.118,0.211,0.118,0.328,2,,0,0,0,0,,player.fcgi?id=trille000mik
Drew Wharton,19,2015,Clemson,23,38,32,4,9,2,0,0,8,1,0,2,9,0.281,0.297,0.344,0.641,11,,0,1,3,0,,player.fcgi?id=wharto000dre
Eli White,21,2015,Clemson,61,274,232,44,69,7,3,4,29,11,6,25,57,0.297,0.38,0.405,0.785,94,,7,8,2,0,,player.fcgi?id=white-000eli
Weston Wilson,20,2015,Clemson,57,221,195,27,49,9,1,5,26,7,3,21,46,0.251,0.326,0.385,0.71,75,,1,3,1,1,,player.fcgi?id=wilson001wes
Glenn Batson?,--,2016,Clemson,29,26,23,1,1,1,0,0,2,0,0,1,6,0.043,0.08,0.087,0.167,2,,0,1,1,0,,player.fcgi?id=batson000gle
Seth Beer*,19,2016,Clemson,62,284,203,57,75,13,0,18,70,1,0,62,27,0.369,0.535,0.7,1.235,142,,15,0,4,10,,player.fcgi?id=beer--000set
K.J. Bryant,20,2016,Clemson,45,85,74,18,19,1,0,2,8,1,0,8,21,0.257,0.337,0.351,0.689,26,,1,2,0,0,,player.fcgi?id=bryant000kj-
Jackson Campana?,--,2016,Clemson,10,10,10,1,1,0,0,0,1,0,0,0,3,0.1,0.1,0.1,0.2,1,,0,0,0,0,,player.fcgi?id=campan000jac
Andrew Cox?,--,2016,Clemson,37,119,107,10,24,3,1,2,16,3,1,7,24,0.224,0.284,0.327,0.612,35,,2,3,0,0,,player.fcgi?id=cox---002and
Maleeke Gibson?,--,2016,Clemson,19,25,18,8,3,0,0,0,0,1,2,6,3,0.167,0.375,0.167,0.542,3,,0,1,0,0,,player.fcgi?id=gibson000mal
Jordan Greene,20,2016,Clemson,38,112,81,22,19,4,0,1,7,3,1,26,18,0.235,0.422,0.321,0.743,26,,1,3,1,0,,player.fcgi?id=greene000jor
Robert Jolly?,--,2016,Clemson,51,113,92,10,20,3,0,0,12,1,0,18,12,0.217,0.339,0.25,0.589,23,,0,1,2,0,,player.fcgi?id=jolly-000rob
Chris Okey,21,2016,Clemson,64,297,239,61,81,16,2,15,74,4,3,51,54,0.339,0.465,0.611,1.076,146,,6,0,1,4,,player.fcgi?id=okey--001chr
Chase Pinder,20,2016,Clemson,64,312,255,67,75,8,2,11,46,7,3,43,40,0.294,0.412,0.471,0.882,120,,10,1,3,1,,player.fcgi?id=pinder001cha
Adam Renwick?,--,2016,Clemson,30,88,72,14,10,1,0,0,7,2,1,7,18,0.139,0.259,0.153,0.412,11,,5,3,1,0,,player.fcgi?id=renwic000ada
Reed Rohlman*,21,2016,Clemson,64,295,248,40,68,21,0,2,43,1,2,33,43,0.274,0.374,0.383,0.757,95,,9,1,4,1,,player.fcgi?id=rohlma000ree
Mike Triller*,23,2016,Clemson,28,60,52,11,14,5,0,5,14,0,0,7,18,0.269,0.35,0.654,1.004,34,,0,0,1,0,,player.fcgi?id=trille000mik
Drew Wharton,20,2016,Clemson,26,34,26,0,4,0,0,0,6,0,0,7,10,0.154,0.324,0.154,0.477,4,,0,0,1,0,,player.fcgi?id=wharto000dre
Eli White,22,2016,Clemson,64,302,250,57,68,13,1,4,30,24,6,39,59,0.272,0.389,0.38,0.769,95,,9,4,0,0,,player.fcgi?id=white-000eli
Chris Williams,19,2016,Clemson,57,221,184,34,45,5,1,8,38,2,0,18,51,0.245,0.342,0.413,0.756,76,,12,2,5,0,,player.fcgi?id=willia013chr
Weston Wilson,21,2016,Clemson,63,291,251,50,70,12,3,7,45,8,5,26,42,0.279,0.343,0.434,0.777,109,,2,5,7,1,,player.fcgi?id=wilson001wes
Seth Beer*,20,2017,Clemson,63,299,218,51,65,17,1,16,53,2,1,64,35,0.298,0.478,0.606,1.084,132,,14,0,3,17,,player.fcgi?id=beer--000set
K.J. Bryant,21,2017,Clemson,20,45,38,9,8,2,1,0,2,3,0,4,5,0.211,0.318,0.316,0.634,12,,2,1,0,1,,player.fcgi?id=bryant000kj-
Grayson Byrd*,21,2017,Clemson,57,207,183,22,52,6,1,1,20,3,1,16,46,0.284,0.345,0.344,0.689,63,,2,4,2,1,,player.fcgi?id=byrd--000gra
Andrew Cox?,--,2017,Clemson,62,265,232,29,65,10,0,6,35,5,3,22,52,0.28,0.347,0.401,0.748,93,,4,3,4,1,,player.fcgi?id=cox---002and
Patrick Cromwell*,21,2017,Clemson,33,84,69,6,14,0,0,2,5,1,1,9,19,0.203,0.313,0.29,0.602,20,,2,4,0,0,,player.fcgi?id=cromwe000pat
Logan Davidson#,19,2017,Clemson,63,293,241,56,69,9,0,12,41,10,3,42,53,0.286,0.388,0.473,0.861,114,,2,2,6,1,,player.fcgi?id=davids000log
Jordan Greene,21,2017,Clemson,59,225,198,21,52,9,0,0,18,5,2,21,38,0.263,0.332,0.308,0.64,61,,0,5,1,0,,player.fcgi?id=greene000jor
Weston Jackson?,--,2017,Clemson,50,156,133,26,33,4,2,8,31,2,1,17,38,0.248,0.346,0.489,0.835,65,,4,0,2,0,,player.fcgi?id=jackso000wes
Robert Jolly?,--,2017,Clemson,40,125,107,26,30,9,0,1,15,2,0,16,22,0.28,0.371,0.393,0.763,42,,0,1,1,1,,player.fcgi?id=jolly-000rob
Chase Pinder,21,2017,Clemson,61,288,233,59,71,16,0,7,32,13,3,37,41,0.305,0.419,0.464,0.883,108,,11,4,3,0,,player.fcgi?id=pinder001cha
Adam Renwick?,--,2017,Clemson,12,5,4,1,0,0,0,0,0,0,1,0,3,0,0.2,0,0.2,0,,1,0,0,0,,player.fcgi?id=renwic000ada
Reed Rohlman*,22,2017,Clemson,62,272,227,44,82,21,1,6,34,1,4,26,33,0.361,0.448,0.542,0.99,123,,13,2,4,1,,player.fcgi?id=rohlma000ree
Drew Wharton,21,2017,Clemson,25,48,42,3,9,1,0,0,6,1,0,3,9,0.214,0.277,0.238,0.515,10,,1,1,1,0,,player.fcgi?id=wharto000dre
Kyle Wilkie,19,2017,Clemson,24,67,51,5,12,1,1,0,5,0,0,11,10,0.235,0.371,0.294,0.665,15,,0,5,0,0,,player.fcgi?id=wilkie000kyl
Chris Williams,20,2017,Clemson,49,203,180,29,47,14,0,14,51,2,0,14,36,0.261,0.32,0.572,0.892,103,,4,0,5,0,,player.fcgi?id=willia013chr
Seth Beer*,21,2018,Clemson,63,296,226,64,68,11,0,22,54,1,0,54,36,0.301,0.456,0.642,1.098,145,,13,0,3,7,,player.fcgi?id=beer--000set
Bryce Bowen*,--,2018,Clemson,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=bowen-001bry
Grayson Byrd*,22,2018,Clemson,48,170,148,23,36,2,0,9,26,3,2,12,36,0.243,0.309,0.439,0.748,65,,3,5,2,1,,player.fcgi?id=byrd--000gra
Matt Cooper,19,2018,Clemson,7,8,7,0,2,0,0,0,0,0,1,0,2,0.286,0.375,0.286,0.661,2,,1,0,0,0,,player.fcgi?id=cooper004mat
Patrick Cromwell*,22,2018,Clemson,58,243,201,36,45,6,0,7,26,1,1,36,60,0.224,0.349,0.358,0.707,72,,3,2,1,0,,player.fcgi?id=cromwe000pat
Logan Davidson#,20,2018,Clemson,63,301,250,60,73,18,0,15,46,10,3,43,68,0.292,0.408,0.544,0.952,136,,6,2,0,0,,player.fcgi?id=davids000log
Drew Donathan,--,2018,Clemson,11,25,19,0,5,0,0,0,2,0,0,4,8,0.263,0.4,0.263,0.663,5,,1,0,1,0,,player.fcgi?id=donath000dre
Jordan Greene,22,2018,Clemson,48,173,136,36,34,6,0,5,21,8,1,33,28,0.25,0.398,0.404,0.802,55,,1,2,1,0,,player.fcgi?id=greene000jor
Sam Hall,19,2018,Clemson,25,83,71,18,17,4,0,2,7,8,2,6,16,0.239,0.341,0.38,0.722,27,,5,1,0,1,,player.fcgi?id=hall--005sam
Justin Hawkins,21,2018,Clemson,21,52,40,7,8,3,0,2,8,0,0,10,23,0.2,0.365,0.425,0.79,17,,1,0,1,0,,player.fcgi?id=hawkin001jus
Robert Jolly?,--,2018,Clemson,50,181,149,18,34,6,0,1,17,3,0,25,35,0.228,0.341,0.289,0.629,43,,1,5,1,0,,player.fcgi?id=jolly-000rob
Bo Majkowski*,19,2018,Clemson,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=majkow000bo-
Kier Meredith*,18,2018,Clemson,13,57,41,8,8,1,1,1,5,4,1,8,15,0.195,0.411,0.341,0.752,14,,7,1,0,0,,player.fcgi?id=meredi000kie
Adam Renwick?,--,2018,Clemson,9,6,5,3,0,0,0,0,0,0,0,1,4,0,0.167,0,0.167,0,,0,0,0,0,,player.fcgi?id=renwic000ada
Bryce Teodosio,19,2018,Clemson,37,95,79,12,13,4,0,4,9,1,2,10,40,0.165,0.283,0.367,0.65,29,,3,3,0,0,,player.fcgi?id=teodos000bry
Sam Weatherly*,19,2018,Clemson,14,11,10,1,1,0,0,0,1,1,0,1,4,0.1,0.182,0.1,0.282,1,,0,0,0,0,,player.fcgi?id=weathe000sam
Drew Wharton,22,2018,Clemson,63,269,231,31,59,12,1,7,41,7,3,30,62,0.255,0.337,0.407,0.744,94,,1,2,5,2,,player.fcgi?id=wharto000dre
Kyle Wilkie,20,2018,Clemson,62,262,216,35,70,10,0,5,40,2,1,34,49,0.324,0.422,0.44,0.862,95,,5,4,3,0,,player.fcgi?id=wilkie000kyl
Chris Williams,21,2018,Clemson,63,289,235,54,66,12,0,18,72,3,1,43,52,0.281,0.401,0.562,0.963,132,,7,0,4,3,,player.fcgi?id=willia013chr
Grayson Byrd*,23,2019,Clemson,61,284,250,49,79,16,2,16,59,4,3,27,48,0.316,0.394,0.588,0.982,147,,6,0,1,4,,player.fcgi?id=byrd--000gra
Matt Cooper,20,2019,Clemson,9,17,15,0,3,1,0,0,3,0,0,2,6,0.2,0.294,0.267,0.561,4,,0,0,0,0,,player.fcgi?id=cooper004mat
Logan Davidson#,21,2019,Clemson,61,294,237,55,69,18,2,15,55,17,3,45,61,0.291,0.412,0.574,0.985,136,,7,0,5,2,,player.fcgi?id=davids000log
Chad Fairey*,19,2019,Clemson,30,82,63,10,11,0,0,3,10,0,0,18,23,0.175,0.366,0.317,0.683,20,,1,0,0,0,,player.fcgi?id=fairey000cha
Michael Green*,21,2019,Clemson,28,120,101,26,31,8,0,3,14,4,1,11,11,0.307,0.412,0.475,0.887,48,,7,1,0,0,,player.fcgi?id=green-005mic
Jordan Greene,23,2019,Clemson,45,174,149,23,37,9,0,4,24,5,1,18,27,0.248,0.318,0.389,0.707,58,,0,1,6,0,,player.fcgi?id=greene000jor
Adam Hackenberg,19,2019,Clemson,21,44,35,6,5,2,0,3,10,0,0,7,19,0.143,0.295,0.457,0.753,16,,1,0,1,0,,player.fcgi?id=hacken000ada
Sam Hall,20,2019,Clemson,61,297,249,59,64,12,0,7,32,30,7,38,58,0.257,0.365,0.39,0.754,97,,6,1,3,0,,player.fcgi?id=hall--005sam
Bryar Hawkins,20,2019,Clemson,52,211,188,31,54,8,1,7,23,2,0,18,58,0.287,0.365,0.452,0.817,85,,5,0,0,0,,player.fcgi?id=hawkin000bry
Justin Hawkins,22,2019,Clemson,33,107,93,13,21,3,0,4,19,2,0,13,38,0.226,0.321,0.387,0.708,36,,0,1,0,0,,player.fcgi?id=hawkin001jus
Elijah Henderson,20,2019,Clemson,19,37,32,3,5,0,0,1,5,0,1,5,9,0.156,0.27,0.25,0.52,8,,0,0,0,0,,player.fcgi?id=hender000eli
Bo Majkowski*,20,2019,Clemson,50,138,109,17,27,8,1,0,14,8,1,16,29,0.248,0.399,0.339,0.738,37,,12,0,1,0,,player.fcgi?id=majkow000bo-
Kier Meredith*,19,2019,Clemson,9,29,22,3,7,2,0,0,1,2,1,5,5,0.318,0.483,0.409,0.892,9,,2,0,0,0,,player.fcgi?id=meredi000kie
James Parker,19,2019,Clemson,27,60,56,6,13,3,0,1,8,1,3,3,18,0.232,0.271,0.339,0.61,19,,0,1,0,0,,player.fcgi?id=parker010jam
Davis Sharpe,19,2019,Clemson,49,154,129,22,34,4,0,3,18,3,0,19,35,0.264,0.377,0.364,0.741,47,,5,0,1,1,,player.fcgi?id=sharpe000dav
Bryce Teodosio,20,2019,Clemson,55,212,186,32,40,8,0,9,33,8,4,16,71,0.215,0.295,0.403,0.698,75,,6,2,2,0,,player.fcgi?id=teodos000bry
Kyle Wilkie,21,2019,Clemson,58,254,218,41,67,14,0,6,41,5,2,26,34,0.307,0.385,0.454,0.839,99,,4,2,4,0,,player.fcgi?id=wilkie000kyl
Dylan Brewer*,19,2020,Clemson,16,63,49,11,12,5,0,1,6,3,0,14,13,0.245,0.413,0.408,0.821,20,,0,0,0,0,,player.fcgi?id=brewer000dyl
Matt Cooper,21,2020,Clemson,4,7,4,1,1,0,0,0,1,1,0,2,2,0.25,0.429,0.25,0.679,1,,0,0,1,0,,player.fcgi?id=cooper004mat
