Name,Age,Season,Team,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Jackson Hesterlee*,22,2019,North Carolina,52,140,119,24,35,9,2,6,26,0,0,15,42,0.294,0.393,0.555,0.947,66,,5,0,1,0,,player.fcgi?id=hester000jac
Jake Holtzapple?,--,2019,North Carolina,8,8,6,0,0,0,0,0,1,0,0,2,3,0,0.25,0,0.25,0,,0,0,0,0,,player.fcgi?id=holtza000jak
Brendan Illies,22,2019,North Carolina,19,14,11,1,2,1,0,1,1,0,0,2,3,0.182,0.357,0.545,0.903,6,,1,0,0,0,,player.fcgi?id=illies000bre
Clemente Inclan*,20,2019,North Carolina,29,33,22,3,5,1,0,0,4,2,0,8,4,0.227,0.394,0.273,0.667,6,,0,0,3,0,,player.fcgi?id=inclan000cle
Brandon Martorano,21,2019,North Carolina,64,265,217,37,54,10,0,8,43,2,2,33,66,0.249,0.364,0.406,0.77,88,,8,4,3,1,,player.fcgi?id=martor000bra
Ashton McGee*,20,2019,North Carolina,64,277,216,48,60,12,1,7,46,7,1,51,49,0.278,0.419,0.44,0.859,95,,5,0,5,0,,player.fcgi?id=mcgee-000ash
Caleb Roberts*,19,2019,North Carolina,54,188,150,23,34,8,0,0,17,2,0,29,23,0.227,0.374,0.28,0.654,42,,7,1,1,1,,player.fcgi?id=robert002cal
Aaron Sabato,20,2019,North Carolina,64,278,230,47,79,25,1,18,63,0,1,39,56,0.343,0.453,0.696,1.149,160,,8,0,1,2,,player.fcgi?id=sabato000aar
Will Schroeder,19,2019,North Carolina,18,21,14,3,2,0,0,0,1,1,1,7,3,0.143,0.429,0.143,0.571,2,,0,0,0,0,,player.fcgi?id=schroe003wil
Earl Semper#,--,2019,North Carolina,7,10,8,2,2,0,0,0,1,0,0,2,3,0.25,0.4,0.25,0.65,2,,0,0,0,0,,player.fcgi?id=semper000ear
Danny Serretti#,19,2019,North Carolina,61,265,231,36,69,18,1,3,45,4,1,27,42,0.299,0.373,0.424,0.797,98,,2,2,3,2,,player.fcgi?id=serret000dan
Dallas Tessar,22,2019,North Carolina,52,74,61,14,13,3,0,1,7,4,0,8,14,0.213,0.324,0.311,0.635,19,,2,3,0,0,,player.fcgi?id=tessar000dal
Angel Zarate*,19,2019,North Carolina,13,11,10,6,1,0,0,0,0,0,0,1,4,0.1,0.182,0.1,0.282,1,,0,0,0,0,,player.fcgi?id=zarate000ang
Patrick Alvarez,19,2020,North Carolina,18,55,47,6,10,2,0,1,9,0,1,5,11,0.213,0.291,0.319,0.61,15,,1,0,2,0,,player.fcgi?id=alvare000pat
Tyler Causey*,19,2020,North Carolina,11,19,17,3,5,0,0,1,6,0,0,2,6,0.294,0.368,0.471,0.839,8,,0,0,0,0,,player.fcgi?id=causey000tyl
Eric Grintz,20,2020,North Carolina,11,29,28,5,9,4,0,0,10,0,0,0,7,0.321,0.345,0.464,0.809,13,,1,0,0,0,,player.fcgi?id=grintz000eri
Dylan Harris*,23,2020,North Carolina,19,89,73,22,20,1,3,5,11,3,0,14,8,0.274,0.404,0.575,0.98,42,,2,0,0,0,,player.fcgi?id=harris001dyl
Jake Holtzapple?,--,2020,North Carolina,8,13,12,1,3,0,0,1,2,0,0,1,1,0.25,0.308,0.5,0.808,6,,0,0,0,0,,player.fcgi?id=holtza000jak
Clemente Inclan*,21,2020,North Carolina,9,11,8,3,1,1,0,0,2,0,0,3,4,0.125,0.364,0.25,0.614,2,,0,0,0,0,,player.fcgi?id=inclan000cle
Tyler Kehoe*,19,2020,North Carolina,5,6,5,0,2,0,0,0,2,0,0,0,2,0.4,0.333,0.4,0.733,2,,0,0,1,0,,player.fcgi?id=kehoe-000tyl
Joey Lancellotti,22,2020,North Carolina,18,67,60,7,14,4,1,2,10,0,0,5,15,0.233,0.299,0.433,0.732,26,,1,0,1,0,,player.fcgi?id=lancel000joe
Mikey Madej#,22,2020,North Carolina,19,70,60,8,11,4,0,0,10,2,1,2,13,0.183,0.261,0.25,0.511,15,,5,1,2,0,,player.fcgi?id=madej-000mik
Caleb Roberts*,20,2020,North Carolina,3,9,8,1,1,0,0,0,0,1,0,1,1,0.125,0.222,0.125,0.347,1,,0,0,0,0,,player.fcgi?id=robert002cal
Aaron Sabato,21,2020,North Carolina,19,90,65,20,19,6,0,7,18,0,0,22,16,0.292,0.478,0.708,1.185,46,,2,0,1,1,,player.fcgi?id=sabato000aar
Will Schroeder,20,2020,North Carolina,13,15,11,3,2,1,0,0,1,0,0,2,5,0.182,0.286,0.273,0.558,3,,0,1,1,0,,player.fcgi?id=schroe003wil
Earl Semper#,--,2020,North Carolina,10,27,22,4,4,0,0,0,1,0,0,4,7,0.182,0.333,0.182,0.515,4,,1,0,0,0,,player.fcgi?id=semper000ear
Danny Serretti#,20,2020,North Carolina,19,90,76,19,19,2,0,0,7,0,1,13,12,0.25,0.356,0.276,0.632,21,,0,0,1,1,,player.fcgi?id=serret000dan
Kyle Smith?,--,2020,North Carolina,9,13,10,2,2,0,0,0,1,0,0,0,4,0.2,0.385,0.2,0.585,2,,3,0,0,0,,player.fcgi?id=smith-023kyl
Will Stewart*,19,2020,North Carolina,14,49,36,6,8,0,1,1,9,1,0,10,9,0.222,0.404,0.361,0.765,13,,1,2,0,1,,player.fcgi?id=stewar011wil
Dallas Tessar,23,2020,North Carolina,16,35,29,12,9,4,0,2,5,1,0,4,8,0.31,0.4,0.655,1.055,19,,1,0,1,0,,player.fcgi?id=tessar000dal
Angel Zarate*,20,2020,North Carolina,19,87,71,15,29,4,1,0,18,5,1,11,4,0.408,0.477,0.493,0.97,35,,1,1,3,0,,player.fcgi?id=zarate000ang
Patrick Alvarez,20,2021,North Carolina,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.5,0,,0,0,0,0,,player.fcgi?id=alvare000pat
Johnny Castagnozzi,19,2021,North Carolina,42,124,109,16,26,4,0,4,15,1,0,10,48,0.239,0.309,0.385,0.694,42,,2,1,2,0,,player.fcgi?id=castag000joh
Tyler Causey*,20,2021,North Carolina,26,53,48,5,12,1,0,2,6,0,0,5,15,0.25,0.321,0.396,0.717,19,,0,0,0,0,,player.fcgi?id=causey000tyl
Brett Centracchio*,23,2021,North Carolina,47,186,172,26,43,14,1,7,23,0,1,10,35,0.25,0.297,0.465,0.762,80,,2,1,1,0,,player.fcgi?id=centra000bre
Brandon Eike,19,2021,North Carolina,4,7,6,0,0,0,0,0,0,0,0,1,3,0,0.143,0,0.143,0,,0,0,0,0,,player.fcgi?id=eike--000bra
