Name,Age,Season,Team,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
Tim Brechbuehler,21,2011,North Carolina,,,,6.75,,0,,,0,,4,2,4,3,,6,,4,,,,,2,4.5,,13.5,9,0.67,,player.fcgi?id=brechb000tim
Garrett Davis,20,2011,North Carolina,,,,0,,0,,,0,,2.1,0,0,0,,3,,0,,,,,1.286,0,,11.6,0,0,,player.fcgi?id=davis-002gar
Kent Emanuel*,19,2011,North Carolina,,,,2.31,,16,,,1,,105,96,30,27,,23,,89,,,,,1.133,8.2,,2,7.6,3.87,,player.fcgi?id=emanue001ken
Bryant Gaines,23,2011,North Carolina,,,,4.5,,2,,,0,,18,14,9,9,,5,,20,,,,,1.056,7,,2.5,10,4,,player.fcgi?id=gaines000bry
Greg Holt,22,2011,North Carolina,,,,4.04,,2,,,0,,62.1,57,28,28,,32,,68,,,,,1.428,8.2,,4.6,9.8,2.13,,player.fcgi?id=holt--000gre
Hobbs Johnson*,20,2011,North Carolina,,,,0,,0,,,0,,5.1,4,0,0,,1,,6,,,,,0.938,6.8,,1.7,10.1,6,,player.fcgi?id=johnso000hob
Patrick Johnson,22,2011,North Carolina,,,,2.47,,17,,,1,,113,85,33,31,,32,,125,,,,,1.035,6.8,,2.5,10,3.91,,player.fcgi?id=johnso005pat
Jimmy Messer,21,2011,North Carolina,,,,2.7,,0,,,0,,10,10,6,3,,4,,11,,,,,1.4,9,,3.6,9.9,2.75,,player.fcgi?id=messer001jam
Mike Morin,20,2011,North Carolina,,,,4.64,,6,,,0,,64,63,35,33,,18,,66,,,,,1.266,8.9,,2.5,9.3,3.67,,player.fcgi?id=morin-001mic
Chris Munnelly,20,2011,North Carolina,,,,4.06,,14,,,0,,71,71,35,32,,31,,57,,,,,1.437,9,,3.9,7.2,1.84,,player.fcgi?id=munnel000chr
R.C. Orlan*,20,2011,North Carolina,,,,4.26,,0,,,0,,19,18,10,9,,11,,24,,,,,1.526,8.5,,5.2,11.4,2.18,,player.fcgi?id=orlan-001rob
Tate Parrish*,19,2011,North Carolina,,,,2.12,,0,,,0,,17,9,5,4,,10,,15,,,,,1.118,4.8,,5.3,7.9,1.5,,player.fcgi?id=parris000tat
Cody Penny,20,2011,North Carolina,,,,5.63,,0,,,0,,16,17,10,10,,9,,18,,,,,1.625,9.6,,5.1,10.1,2,,player.fcgi?id=penny-000cod
Andrew Smith,19,2011,North Carolina,,,,2.77,,1,,,0,,26,27,12,8,,11,,27,,,,,1.462,9.3,,3.8,9.3,2.45,,player.fcgi?id=smith-009and
Cody Stiles,20,2011,North Carolina,,,,2.43,,8,,,0,,37,29,12,10,,13,,29,,,,,1.135,7.1,,3.2,7.1,2.23,,player.fcgi?id=stiles001cod
Shane Taylor,18,2011,North Carolina,,,,3,,1,,,0,,36,45,18,12,,12,,38,,,,,1.583,11.3,,3,9.5,3.17,,player.fcgi?id=taylor000sha
George Carter?,--,2012,North Carolina,0,0,,0,1,0,,,0,0,0.1,1,0,0,0,0,0,0,0,0,1,2,3,27,0,0,0,,,player.fcgi?id=carter004geo
Kent Emanuel*,20,2012,North Carolina,8,4,0.667,1.96,17,16,,,0,0,110,91,33,24,3,23,0,100,7,0,0,445,1.036,7.4,0.2,1.9,8.2,4.35,,player.fcgi?id=emanue001ken
Hobbs Johnson*,21,2012,North Carolina,7,1,0.875,1.56,22,7,,,0,0,57.2,37,14,10,3,24,0,69,3,0,0,238,1.058,5.8,0.5,3.7,10.8,2.88,,player.fcgi?id=johnso000hob
Trevor Kelley,19,2012,North Carolina,0,0,,16.2,4,0,,,0,0,1.2,5,3,3,0,2,0,3,0,0,2,12,4.2,27,0,10.8,16.2,1.5,,player.fcgi?id=kelley000tre
Chris McCue,19,2012,North Carolina,1,0,1,2.1,25,0,,,0,0,25.2,22,11,6,1,9,0,17,1,0,1,108,1.208,7.7,0.4,3.2,6,1.89,,player.fcgi?id=mccue-000chr
Mason McCullough,19,2012,North Carolina,0,0,,3.86,16,0,,,0,0,9.1,9,6,4,0,8,0,8,1,0,2,45,1.821,8.7,0,7.7,7.7,1,,player.fcgi?id=mccull000mas
Jimmy Messer,22,2012,North Carolina,0,0,,6.75,3,0,,,0,0,4,8,3,3,1,1,0,1,0,0,0,20,2.25,18,2.3,2.3,2.3,1,,player.fcgi?id=messer001jam
Mike Morin,21,2012,North Carolina,6,4,0.6,1.4,38,0,,,0,19,58,38,10,9,3,19,2,55,8,0,1,234,0.983,5.9,0.5,2.9,8.5,2.89,,player.fcgi?id=morin-001mic
Benton Moss,19,2012,North Carolina,7,2,0.778,1.94,17,16,,,0,0,79,65,25,17,4,23,0,83,7,3,2,336,1.114,7.4,0.5,2.6,9.5,3.61,,player.fcgi?id=moss--000ben
Chris Munnelly,21,2012,North Carolina,2,0,1,3.61,15,10,,,0,0,47.1,43,21,19,1,27,0,24,4,0,1,212,1.479,8.2,0.2,5.1,4.6,0.89,,player.fcgi?id=munnel000chr
Chris O'Brien?,--,2012,North Carolina,1,2,0.333,3.46,14,5,,,0,0,26,30,12,10,0,11,0,16,1,1,1,117,1.577,10.4,0,3.8,5.5,1.45,,player.fcgi?id=obrien004chr
R.C. Orlan*,21,2012,North Carolina,8,1,0.889,2.21,38,0,,,0,0,57,55,16,14,2,11,0,66,2,1,0,237,1.158,8.7,0.3,1.7,10.4,6,,player.fcgi?id=orlan-001rob
Tate Parrish*,20,2012,North Carolina,1,0,1,2.89,25,0,,,0,0,9.1,11,7,3,0,5,0,13,3,0,1,48,1.714,10.6,0,4.8,12.5,2.6,,player.fcgi?id=parris000tat
Luis Paula,19,2012,North Carolina,0,1,0,5.95,13,2,,,0,0,19.2,25,18,13,3,11,1,21,1,0,3,95,1.831,11.4,1.4,5,9.6,1.91,,player.fcgi?id=paula-000lui
Cody Penny,21,2012,North Carolina,0,0,,6.61,18,2,,,0,0,16.1,19,13,12,1,9,0,19,3,0,5,81,1.714,10.5,0.6,5,10.5,2.11,,player.fcgi?id=penny-000cod
Andrew Smith,20,2012,North Carolina,0,0,,27,5,0,,,0,0,1.1,2,4,4,0,5,0,1,0,0,0,10,5.25,13.5,0,33.8,6.8,0.2,,player.fcgi?id=smith-009and
Shane Taylor,19,2012,North Carolina,5,1,0.833,3.48,26,4,,,0,0,41.1,38,20,16,0,17,0,34,4,1,1,180,1.331,8.3,0,3.7,7.4,2,,player.fcgi?id=taylor000sha
Taylore Cherry,20,2013,North Carolina,1,0,1,8.1,8,1,,,0,0,10,16,10,9,0,5,0,4,3,0,2,55,2.1,14.4,0,4.5,3.6,0.8,,player.fcgi?id=cherry000tay
Kent Emanuel*,21,2013,North Carolina,11,5,0.688,3.14,21,18,,,3,1,131.2,121,52,46,7,32,0,98,4,0,3,543,1.162,8.3,0.5,2.2,6.7,3.06,,player.fcgi?id=emanue001ken
Peter Hendel*,20,2013,North Carolina,0,0,,27,4,0,,,0,0,0.2,3,2,2,0,1,0,1,0,0,0,6,6,40.5,0,13.5,13.5,1,,player.fcgi?id=hendel000pet
Reilly Hovis,19,2013,North Carolina,4,0,1,2.36,18,4,,,0,0,34.1,20,10,9,1,24,4,26,1,0,2,150,1.282,5.2,0.3,6.3,6.8,1.08,,player.fcgi?id=hovis-000rei
Hobbs Johnson*,22,2013,North Carolina,5,1,0.833,2.37,18,17,,,0,0,87.1,62,25,23,0,51,0,78,5,0,4,377,1.294,6.4,0,5.3,8,1.53,,player.fcgi?id=johnso000hob
Trevor Kelley,20,2013,North Carolina,2,1,0.667,3.63,32,0,,,0,2,44.2,33,20,18,1,19,0,36,6,0,6,188,1.164,6.6,0.2,3.8,7.3,1.89,,player.fcgi?id=kelley000tre
Chris McCue,20,2013,North Carolina,7,1,0.875,2.13,32,0,,,0,2,63.1,43,19,15,2,28,2,54,4,1,11,265,1.121,6.1,0.3,4,7.7,1.93,,player.fcgi?id=mccue-000chr
Mason McCullough,20,2013,North Carolina,0,1,0,0.73,17,0,,,0,0,12.1,4,1,1,0,7,0,14,3,0,2,49,0.892,2.9,0,5.1,10.2,2,,player.fcgi?id=mccull000mas
Benton Moss,20,2013,North Carolina,8,1,0.889,3.77,19,16,,,0,0,88.1,79,41,37,7,34,0,92,10,1,6,384,1.279,8,0.7,3.5,9.4,2.71,,player.fcgi?id=moss--000ben
Chris Munnelly,22,2013,North Carolina,6,0,1,2.39,22,8,,,0,1,60.1,36,16,16,3,27,1,63,9,0,4,252,1.044,5.4,0.4,4,9.4,2.33,,player.fcgi?id=munnel000chr
Chris O'Brien?,--,2013,North Carolina,0,1,0,10.8,4,0,,,0,0,1.2,5,4,2,0,2,0,0,0,0,0,12,4.2,27,0,10.8,0,0,,player.fcgi?id=obrien004chr
Tate Parrish*,21,2013,North Carolina,1,0,1,1.35,20,0,,,0,2,6.2,4,1,1,0,4,0,10,2,0,0,33,1.2,5.4,0,5.4,13.5,2.5,,player.fcgi?id=parris000tat
Luis Paula,20,2013,North Carolina,0,0,,8.59,9,0,,,0,1,7.1,5,7,7,0,10,0,6,1,0,1,37,2.045,6.1,0,12.3,7.4,0.6,,player.fcgi?id=paula-000lui
Andrew Smith,21,2013,North Carolina,0,0,,0,1,0,,,0,0,1,0,0,0,0,1,0,2,0,0,0,4,1,0,0,9,18,2,,player.fcgi?id=smith-009and
Shane Taylor,20,2013,North Carolina,2,0,1,3,11,1,,,0,0,12,14,4,4,0,10,1,7,1,0,3,57,2,10.5,0,7.5,5.3,0.7,,player.fcgi?id=taylor000sha
Trent Thornton,19,2013,North Carolina,12,1,0.923,1.37,29,6,,,0,8,91.2,69,22,14,3,19,2,81,5,0,4,369,0.96,6.8,0.3,1.9,8,4.26,,player.fcgi?id=thornt000tre
A.J. Bogucki,19,2014,North Carolina,1,0,1,2.28,13,3,,,0,0,23.2,16,11,6,0,13,0,27,4,0,3,104,1.225,6.1,0,4.9,10.3,2.08,,player.fcgi?id=boguck000aj-
Taylore Cherry,21,2014,North Carolina,2,3,0.4,4.01,12,7,,,0,0,42.2,41,19,19,2,22,0,26,4,0,5,197,1.477,8.6,0.4,4.6,5.5,1.18,,player.fcgi?id=cherry000tay
Zac Gallen,18,2014,North Carolina,5,4,0.556,4.64,17,17,,,0,0,85.1,93,50,44,4,23,1,62,9,1,3,366,1.359,9.8,0.4,2.4,6.5,2.7,,player.fcgi?id=gallen000zac
Jack Geraghty,20,2014,North Carolina,0,0,,0,2,0,,,0,0,2,2,0,0,0,0,0,2,0,0,0,8,1,9,0,0,9,,,player.fcgi?id=geragh000jac
Reilly Hovis,20,2014,North Carolina,9,1,0.9,2.25,34,1,,,0,6,64,44,16,16,2,24,1,81,2,0,8,256,1.063,6.2,0.3,3.4,11.4,3.38,,player.fcgi?id=hovis-000rei
Trevor Kelley,21,2014,North Carolina,1,4,0.2,3.25,31,0,,,0,2,44.1,47,17,16,1,16,1,28,4,0,7,198,1.421,9.5,0.2,3.2,5.7,1.75,,player.fcgi?id=kelley000tre
Chris McCue,21,2014,North Carolina,0,0,,0.77,7,0,,,0,7,11.2,10,1,1,0,9,0,14,0,1,7,53,1.629,7.7,0,6.9,10.8,1.56,,player.fcgi?id=mccue-000chr
Benton Moss,21,2014,North Carolina,4,2,0.667,3.62,16,15,,,0,0,97,77,44,39,1,35,2,77,13,3,7,417,1.155,7.1,0.1,3.2,7.1,2.2,,player.fcgi?id=moss--000ben
Tate Parrish*,22,2014,North Carolina,0,0,,3.86,5,0,,,0,0,2.1,0,1,1,0,1,0,2,0,0,0,8,0.429,0,0,3.9,7.7,2,,player.fcgi?id=parris000tat
Luis Paula,21,2014,North Carolina,1,3,0.25,3.8,8,5,,,0,0,21.1,22,11,9,1,14,1,23,1,0,1,102,1.688,9.3,0.4,5.9,9.7,1.64,,player.fcgi?id=paula-000lui
Zach Rice*,18,2014,North Carolina,2,3,0.4,4.29,34,0,,,0,0,21,21,11,10,0,15,1,29,2,0,0,99,1.714,9,0,6.4,12.4,1.93,,player.fcgi?id=rice--000zac
Henry Sisson*,21,2014,North Carolina,0,1,0,3.29,10,0,,,0,0,13.2,12,6,5,1,7,0,10,0,0,2,60,1.39,7.9,0.7,4.6,6.6,1.43,,player.fcgi?id=sisson002hen
Trent Thornton,20,2014,North Carolina,7,4,0.636,2.73,16,14,,,1,1,95.2,77,33,29,2,29,2,83,13,0,7,406,1.108,7.2,0.2,2.7,7.8,2.86,,player.fcgi?id=thornt000tre
Spencer Trayner,19,2014,North Carolina,3,2,0.6,1.6,28,0,,,0,0,39.1,32,8,7,0,16,6,33,6,1,6,176,1.22,7.3,0,3.7,7.6,2.06,,player.fcgi?id=trayne000spe
A.J. Bogucki,20,2015,North Carolina,1,2,0.333,4.96,9,3,,,0,0,16.1,16,12,9,1,11,0,23,2,0,3,79,1.653,8.8,0.6,6.1,12.7,2.09,,player.fcgi?id=boguck000aj-
JB Bukauskas,18,2015,North Carolina,5,3,0.625,4.09,14,14,,,0,0,72.2,64,37,33,4,30,0,67,3,1,8,308,1.294,7.9,0.5,3.7,8.3,2.23,,player.fcgi?id=bukaus000jb-
Hansen Butler,19,2015,North Carolina,1,0,1,3.38,19,0,,,0,0,21.1,30,10,8,0,12,1,25,2,0,2,106,1.969,12.7,0,5.1,10.5,2.08,,player.fcgi?id=butler000han
Brett Daniels,19,2015,North Carolina,0,0,,3.38,5,2,,,0,0,5.1,7,4,2,0,4,0,6,1,0,1,29,2.063,11.8,0,6.8,10.1,1.5,,player.fcgi?id=daniel000bre
Zac Gallen,19,2015,North Carolina,4,3,0.571,2.79,14,12,,,1,0,84,72,32,26,6,19,1,74,7,2,2,349,1.083,7.7,0.6,2,7.9,3.89,,player.fcgi?id=gallen000zac
Jack Geraghty,21,2015,North Carolina,0,0,,inf,1,0,,,0,0,0,3,3,3,0,0,0,0,0,0,0,3,,,,,,,,player.fcgi?id=geragh000jac
Reilly Hovis,21,2015,North Carolina,1,0,1,18,2,0,,,0,0,3,5,6,6,0,3,0,5,1,0,0,18,2.667,15,0,9,15,1.67,,player.fcgi?id=hovis-000rei
Trevor Kelley,22,2015,North Carolina,5,3,0.625,2.55,41,0,,,0,5,77.2,67,29,22,2,20,1,71,9,1,6,323,1.12,7.8,0.2,2.3,8.2,3.55,,player.fcgi?id=kelley000tre
Chris McCue,22,2015,North Carolina,0,0,,6,9,0,,,0,0,6,10,8,4,0,5,0,5,1,0,2,34,2.5,15,0,7.5,7.5,1,,player.fcgi?id=mccue-000chr
Jason Morgan,19,2015,North Carolina,0,0,,3.91,12,1,,,0,1,23,28,12,10,1,5,0,8,5,0,0,103,1.435,11,0.4,2,3.1,1.6,,player.fcgi?id=morgan001jas
Benton Moss,22,2015,North Carolina,7,1,0.875,3.44,13,13,,,0,0,68,68,31,26,5,17,0,66,5,0,4,288,1.25,9,0.7,2.3,8.7,3.88,,player.fcgi?id=moss--000ben
Nick Raquet*,19,2015,North Carolina,1,0,1,1.42,12,0,,,0,0,6.1,6,1,1,0,4,0,5,2,0,4,31,1.579,8.5,0,5.7,7.1,1.25,,player.fcgi?id=raquet000nic
Zach Rice*,19,2015,North Carolina,0,0,,2.31,20,0,,,0,1,11.2,7,9,3,0,16,0,13,3,0,2,62,1.971,5.4,0,12.3,10,0.81,,player.fcgi?id=rice--000zac
Trent Thornton,21,2015,North Carolina,3,7,0.3,5.08,28,4,,,0,6,62,53,38,35,3,31,3,81,2,0,12,267,1.355,7.7,0.4,4.5,11.8,2.61,,player.fcgi?id=thornt000tre
Spencer Trayner,20,2015,North Carolina,2,3,0.4,4.84,23,0,,,0,0,22.1,23,17,12,3,12,3,21,2,0,1,104,1.567,9.3,1.2,4.8,8.5,1.75,,player.fcgi?id=trayne000spe
Hunter Williams*,19,2015,North Carolina,4,2,0.667,1.79,14,9,,,1,0,40.1,28,13,8,1,23,0,35,4,0,8,174,1.264,6.2,0.2,5.1,7.8,1.52,,player.fcgi?id=willia000hun
Cole Aker,19,2016,North Carolina,3,1,0.75,3.41,21,2,,0,0,0,29,30,11,11,2,17,1,30,2,0,3,133,1.621,9.3,0.6,5.3,9.3,1.76,,player.fcgi?id=aker--000col
A.J. Bogucki,21,2016,North Carolina,5,5,0.5,2.86,28,0,,0,0,1,50.1,39,22,16,1,25,2,53,5,1,11,216,1.272,7,0.2,4.5,9.5,2.12,,player.fcgi?id=boguck000aj-
JB Bukauskas,19,2016,North Carolina,7,2,0.778,3.1,13,13,,0,0,0,78.1,68,32,27,6,29,0,111,7,0,6,333,1.238,7.8,0.7,3.3,12.8,3.83,,player.fcgi?id=bukaus000jb-
Hansen Butler,20,2016,North Carolina,3,0,1,2,14,0,,0,0,2,18,15,6,4,0,9,1,24,2,0,2,79,1.333,7.5,0,4.5,12,2.67,,player.fcgi?id=butler000han
Brett Daniels,20,2016,North Carolina,2,1,0.667,2.17,23,0,,0,0,0,37.1,30,11,9,2,12,5,34,1,1,5,151,1.125,7.2,0.5,2.9,8.2,2.83,,player.fcgi?id=daniel000bre
Zac Gallen,20,2016,North Carolina,5,6,0.455,2.68,13,13,,1,1,0,90.2,68,30,27,2,21,0,95,2,0,2,355,0.982,6.8,0.2,2.1,9.4,4.52,,player.fcgi?id=gallen000zac
Rodney Hutchison,19,2016,North Carolina,1,2,0.333,5.82,8,3,,0,0,0,17,20,15,11,2,8,0,16,2,0,1,80,1.647,10.6,1.1,4.2,8.5,2,,player.fcgi?id=hutchi000rod
Brendon Little*,19,2016,North Carolina,0,0,,6.75,4,0,,0,0,0,4,4,3,3,1,2,0,2,0,0,1,19,1.5,9,2.3,4.5,4.5,1,,player.fcgi?id=little000bre
Chris McCue,23,2016,North Carolina,0,0,,6.23,6,0,,0,0,0,4.1,0,3,3,0,5,0,4,1,0,2,16,1.154,0,0,10.4,8.3,0.8,,player.fcgi?id=mccue-000chr
Jason Morgan,20,2016,North Carolina,3,3,0.5,4.1,15,15,,0,0,0,63.2,56,34,29,6,32,0,47,6,0,3,288,1.382,7.9,0.8,4.5,6.6,1.47,,player.fcgi?id=morgan001jas
Zach Rice*,20,2016,North Carolina,0,0,,2.45,10,0,,0,0,0,3.2,5,2,1,0,5,0,6,1,0,0,22,2.727,12.3,0,12.3,14.7,1.2,,player.fcgi?id=rice--000zac
Cody Roberts,20,2016,North Carolina,0,0,,0,1,0,,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,player.fcgi?id=robert000cod
J.T. Rogoszewski,--,2016,North Carolina,0,0,,5.06,3,2,,0,0,0,5.1,4,5,3,0,5,0,5,1,0,0,26,1.688,6.8,0,8.4,8.4,1,,player.fcgi?id=rogosz000jt-
Ryder Ryan,21,2016,North Carolina,0,0,,inf,1,0,,0,0,0,0,1,1,1,0,3,0,0,0,0,0,4,,,,,,0,,player.fcgi?id=ryan--000ryd
Taylor Sugg,18,2016,North Carolina,0,0,,2.45,14,0,,0,0,1,14.2,17,8,4,1,5,0,16,3,0,3,69,1.5,10.4,0.6,3.1,9.8,3.2,,player.fcgi?id=sugg--000tay
Spencer Trayner,21,2016,North Carolina,2,0,1,2.5,34,0,,0,0,0,36,27,13,10,0,12,0,33,1,0,2,144,1.083,6.8,0,3,8.3,2.75,,player.fcgi?id=trayne000spe
Hunter Williams*,20,2016,North Carolina,3,1,0.75,3.13,23,7,,0,0,0,37.1,39,17,13,3,26,1,41,7,0,2,182,1.741,9.4,0.7,6.3,9.9,1.58,,player.fcgi?id=willia000hun
Cole Aker,20,2017,North Carolina,1,1,0.5,2.12,10,3,,0,0,0,17,8,6,4,1,13,0,18,6,0,1,74,1.235,4.2,0.5,6.9,9.5,1.38,,player.fcgi?id=aker--000col
Zach Attianese*,19,2017,North Carolina,0,0,,0,9,0,,0,0,0,2.2,1,1,0,0,4,0,1,0,0,2,14,1.875,3.4,0,13.5,3.4,0.25,,player.fcgi?id=attian000zac
Tyler Baum,19,2017,North Carolina,7,0,1,2.57,16,15,,0,0,0,63,47,18,18,6,27,0,47,4,0,3,261,1.175,6.7,0.9,3.9,6.7,1.74,,player.fcgi?id=baum--000tyl
Austin Bergner,20,2017,North Carolina,4,2,0.667,3,27,3,,0,0,1,48,35,20,16,3,25,2,45,1,0,2,204,1.25,6.6,0.6,4.7,8.4,1.8,,player.fcgi?id=bergne000aus
JB Bukauskas,20,2017,North Carolina,9,1,0.9,2.53,15,15,,0,0,0,92.2,62,34,26,7,37,0,116,9,0,14,385,1.068,6,0.7,3.6,11.3,3.14,,player.fcgi?id=bukaus000jb-
Gianluca Dalatri,19,2017,North Carolina,7,3,0.7,3.34,15,15,,0,0,0,97,90,41,36,7,19,2,85,3,0,6,398,1.124,8.4,0.6,1.8,7.9,4.47,,player.fcgi?id=dalatr000luc
Brett Daniels,21,2017,North Carolina,5,0,1,2.68,27,0,,0,0,0,40.1,34,14,12,2,20,0,33,2,0,2,176,1.339,7.6,0.4,4.5,7.4,1.65,,player.fcgi?id=daniel000bre
Trevor Gay,21,2017,North Carolina,1,0,1,3.65,16,0,,0,0,0,12.1,11,7,5,0,7,0,14,2,0,2,55,1.459,8,0,5.1,10.2,2,,player.fcgi?id=gay---000tre
Josh Hiatt,20,2017,North Carolina,4,2,0.667,1.9,32,0,,0,0,13,52,31,13,11,3,20,2,64,8,0,9,213,0.981,5.4,0.5,3.5,11.1,3.2,,player.fcgi?id=hiatt-000jos
Rodney Hutchison,20,2017,North Carolina,7,4,0.636,4.14,31,1,,0,0,1,58.2,58,30,27,3,17,1,53,8,1,2,252,1.278,8.9,0.5,2.6,8.1,3.12,,player.fcgi?id=hutchi000rod
Jason Morgan,21,2017,North Carolina,3,0,1,3.92,18,7,,0,0,0,43.2,41,21,19,4,20,0,36,8,0,4,198,1.397,8.5,0.8,4.1,7.4,1.8,,player.fcgi?id=morgan001jas
Evan Odum,19,2017,North Carolina,0,0,,inf,1,0,,0,0,0,0,3,3,3,0,1,0,0,0,0,0,4,,,,,,0,,player.fcgi?id=odum--000eva
Taylor Sugg,19,2017,North Carolina,1,1,0.5,1.95,17,3,,0,0,0,27.2,24,7,6,0,14,1,18,1,0,4,123,1.373,7.8,0,4.6,5.9,1.29,,player.fcgi?id=sugg--000tay
Bo Weiss,19,2017,North Carolina,0,0,,2.7,15,1,,0,0,0,16.2,15,6,5,0,8,0,14,6,0,2,77,1.38,8.1,0,4.3,7.6,1.75,,player.fcgi?id=weiss-000bo-
Tyler Baum,20,2018,North Carolina,4,1,0.8,4.57,18,12,,0,0,0,65,58,38,33,6,32,0,74,7,0,10,285,1.385,8,0.8,4.4,10.2,2.31,,player.fcgi?id=baum--000tyl
Austin Bergner,21,2018,North Carolina,7,3,0.7,4.25,17,13,,0,0,1,82.2,76,50,39,9,34,1,84,3,0,6,353,1.331,8.3,1,3.7,9.1,2.47,,player.fcgi?id=bergne000aus
Kyle Blendinger,--,2018,North Carolina,0,0,,0,4,0,,0,0,0,3.1,2,2,0,0,2,0,3,0,0,0,14,1.2,5.4,0,5.4,8.1,1.5,,player.fcgi?id=blendi000kyl
Hansen Butler,22,2018,North Carolina,0,1,0,6.52,14,0,,0,0,0,9.2,9,8,7,1,14,0,17,2,0,2,55,2.379,8.4,0.9,13,15.8,1.21,,player.fcgi?id=butler000han
Ben Casparius,19,2018,North Carolina,1,0,1,1.69,10,0,,0,0,1,10.2,4,2,2,0,9,0,9,1,0,3,45,1.219,3.4,0,7.6,7.6,1,,player.fcgi?id=caspar000ben
Cooper Criswell,21,2018,North Carolina,6,2,0.75,2.99,26,9,,0,0,1,75.1,71,30,25,8,12,1,86,7,1,3,314,1.102,8.5,1,1.4,10.3,7.17,,player.fcgi?id=criswe000coo
Gianluca Dalatri,20,2018,North Carolina,2,2,0.5,3.33,7,7,,0,0,0,27,35,10,10,2,7,0,31,0,0,4,123,1.556,11.7,0.7,2.3,10.3,4.43,,player.fcgi?id=dalatr000luc
Brett Daniels,22,2018,North Carolina,6,1,0.857,2.77,39,1,,0,0,2,65,62,22,20,5,29,2,74,3,0,7,282,1.4,8.6,0.7,4,10.2,2.55,,player.fcgi?id=daniel000bre
Trevor Gay,22,2018,North Carolina,0,0,,0,4,0,,0,0,0,2.2,2,2,0,0,3,0,6,1,0,0,14,1.875,6.8,0,10.1,20.3,2,,player.fcgi?id=gay---000tre
Josh Hiatt,21,2018,North Carolina,3,2,0.6,3.73,31,0,,0,0,6,50.2,46,27,21,5,19,1,52,5,0,4,214,1.283,8.2,0.9,3.4,9.2,2.74,,player.fcgi?id=hiatt-000jos
Rodney Hutchison,21,2018,North Carolina,3,3,0.5,4.55,23,10,,1,1,0,59.1,65,35,30,3,16,0,56,10,0,2,270,1.365,9.9,0.5,2.4,8.5,3.5,,player.fcgi?id=hutchi000rod
Joey Lancellotti,20,2018,North Carolina,3,4,0.429,3.96,28,1,,0,0,1,38.2,26,19,17,5,18,0,43,6,0,5,165,1.138,6.1,1.2,4.2,10,2.39,,player.fcgi?id=lancel000joe
Caden O'Brien*,19,2018,North Carolina,7,0,1,2.63,30,2,,0,0,0,48,30,17,14,3,27,0,52,3,1,3,199,1.188,5.6,0.6,5.1,9.8,1.93,,player.fcgi?id=obrien000cad
Taylor Sugg,20,2018,North Carolina,2,1,0.667,5.4,12,9,,0,0,0,33.1,36,23,20,4,19,0,32,2,0,3,154,1.65,9.7,1.1,5.1,8.6,1.68,,player.fcgi?id=sugg--000tay
Bo Weiss,20,2018,North Carolina,0,0,,3.38,6,0,,0,0,0,2.2,3,1,1,0,7,0,4,0,0,1,18,3.75,10.1,0,23.6,13.5,0.57,,player.fcgi?id=weiss-000bo-
Tyler Baum,21,2019,North Carolina,7,3,0.7,3.87,17,16,,0,0,0,93,94,44,40,6,25,0,99,5,0,12,399,1.28,9.1,0.6,2.4,9.6,3.96,,player.fcgi?id=baum--000tyl
Austin Bergner,22,2019,North Carolina,6,1,0.857,4.94,16,16,,0,0,0,82,91,52,45,7,31,0,77,3,1,12,367,1.488,10,0.8,3.4,8.5,2.48,,player.fcgi?id=bergne000aus
Kyle Blendinger,--,2019,North Carolina,0,0,,4,9,0,,0,0,0,9,5,5,4,1,4,0,8,3,0,0,40,1,5,1,4,8,2,,player.fcgi?id=blendi000kyl
Hansen Butler,23,2019,North Carolina,5,0,1,3.86,21,0,,0,0,1,21,19,14,9,1,18,0,31,1,1,4,98,1.762,8.1,0.4,7.7,13.3,1.72,,player.fcgi?id=butler000han
Ben Casparius,20,2019,North Carolina,0,0,,4.41,12,0,,0,0,1,16.1,17,9,8,0,7,0,14,1,0,0,72,1.469,9.4,0,3.9,7.7,2,,player.fcgi?id=caspar000ben
Gianluca Dalatri,21,2019,North Carolina,1,1,0.5,2.25,6,6,,0,0,0,32,29,12,8,1,8,0,35,4,0,6,138,1.156,8.2,0.3,2.3,9.8,4.38,,player.fcgi?id=dalatr000luc
Josh Dotson,--,2019,North Carolina,3,0,1,4.5,25,2,,0,0,0,34,32,22,17,1,18,0,27,9,0,4,162,1.471,8.5,0.3,4.8,7.1,1.5,,player.fcgi?id=dotson003jos
Andrew Grogan,21,2019,North Carolina,4,2,0.667,4.84,21,7,,0,0,0,44.2,46,29,24,6,22,2,34,9,0,1,213,1.522,9.3,1.2,4.4,6.9,1.55,,player.fcgi?id=grogan000and
Joey Lancellotti,21,2019,North Carolina,6,4,0.6,3.12,27,2,,0,0,3,52,47,25,18,2,29,1,56,7,2,5,236,1.462,8.1,0.3,5,9.7,1.93,,player.fcgi?id=lancel000joe
Austin Love,20,2019,North Carolina,8,4,0.667,3.22,36,0,,0,0,5,67,53,29,24,4,25,0,67,6,0,10,280,1.164,7.1,0.5,3.4,9,2.68,,player.fcgi?id=love--000aus
