Name,Age,Season,Team,Conference,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional
Caden Aoki,23,2026,Georgia,SEC,9,2,0.818,4.08,20,9,,1,0,3,86,86,41,39,14,27,0,110,4,0,7,371,1.314,9,1.5,2.8,11.5,4.07,,player.fcgi?id=aoki--000cad
Teddy Brennan*,23,2026,Georgia,SEC,0,0,,13.5,6,0,,0,0,0,3.1,5,5,5,1,6,0,7,1,0,1,22,3.3,13.5,2.7,16.2,18.9,1.17,,player.fcgi?id=brenna000the
Zach Brown,21,2026,Georgia,SEC,2,0,1,4,20,5,,0,0,2,36,32,17,16,8,9,0,38,0,0,2,147,1.139,8,2,2.3,9.5,4.22,,player.fcgi?id=brown-014zac
Justin Byrd,22,2026,Georgia,SEC,6,2,0.75,3.73,27,1,,0,0,8,62.2,45,26,26,13,14,0,77,3,0,2,249,0.941,6.5,1.9,2,11.1,5.5,,player.fcgi?id=byrd--003jus
Bryce Calloway,23,2026,Georgia,SEC,0,0,,0,1,0,,0,0,0,1,1,0,0,0,1,0,2,0,0,0,5,2,9,0,9,18,2,,player.fcgi?id=callow000bry
Grant Edwards,23,2026,Georgia,SEC,1,1,0.5,5.65,19,1,,0,0,0,14.1,12,9,9,2,6,0,11,5,0,0,61,1.256,7.5,1.3,3.8,6.9,1.83,,player.fcgi?id=edward004gra
Thomas Ellisen,23,2026,Georgia,SEC,1,2,0.333,7.71,11,1,,0,0,0,16.1,18,14,14,5,5,0,17,2,0,1,72,1.408,9.9,2.8,2.8,9.4,3.4,,player.fcgi?id=ellise000tho
Paul Farley,21,2026,Georgia,SEC,8,2,0.8,4.98,22,4,,0,0,1,47,55,29,26,7,21,0,50,4,1,2,213,1.617,10.5,1.3,4,9.6,2.38,,player.fcgi?id=farley000pau
Kenny Ishikawa*,22,2026,Georgia,SEC,1,1,0.5,14.44,10,6,,0,0,0,14.1,21,24,23,3,16,0,20,3,0,5,82,2.581,13.2,1.9,10,12.6,1.25,,player.fcgi?id=ishika000ken
Caleb Jameson*,22,2026,Georgia,SEC,2,0,1,6.11,17,1,,0,0,0,17.2,22,14,12,4,4,0,26,3,0,1,81,1.472,11.2,2,2,13.2,6.5,,player.fcgi?id=jameso002cal
Mason Kosowick,23,2026,Georgia,SEC,0,0,,7.2,7,0,,0,0,0,5,2,4,4,0,7,0,8,3,0,2,26,1.8,3.6,0,12.6,14.4,1.14,,player.fcgi?id=kosowi000mas
Lucas Morici,22,2026,Georgia,SEC,0,0,,9,1,0,,0,0,0,1,0,1,1,0,2,0,0,1,0,0,4,2,0,0,18,0,0,,player.fcgi?id=morici000luc
Joe Nottingham,19,2026,Georgia,SEC,0,0,,4.73,13,0,,0,0,1,13.1,10,8,7,2,7,0,19,0,0,1,58,1.275,6.8,1.4,4.7,12.8,2.71,,player.fcgi?id=nottin000joe
Jackson Peavy*,19,2026,Georgia,SEC,0,0,,0,3,0,,0,0,0,2.1,0,1,0,0,2,0,3,1,0,0,11,0.857,0,0,7.7,11.6,1.5,,player.fcgi?id=peavy-002jac
Brad Pruett,22,2026,Georgia,SEC,0,1,0,8.22,8,0,,0,0,0,7.2,9,9,7,2,8,1,12,1,0,1,42,2.217,10.6,2.3,9.4,14.1,1.5,,player.fcgi?id=pruett000bra
Matt Scott,22,2026,Georgia,SEC,7,0,1,4.22,20,3,,0,0,5,59.2,49,28,28,13,30,0,76,2,0,2,261,1.324,7.4,2,4.5,11.5,2.53,,player.fcgi?id=scott-006mat
Logan Spivey,23,2026,Georgia,SEC,0,0,,6.75,4,0,,0,0,0,1.1,3,1,1,0,4,0,1,1,0,1,12,5.25,20.3,0,27,6.8,0.25,,player.fcgi?id=spivey000log
Jordan Stephens,21,2026,Georgia,SEC,1,0,1,7.85,17,2,,0,0,0,18.1,21,16,16,2,12,0,18,2,0,3,88,1.8,10.3,1,5.9,8.8,1.5,,player.fcgi?id=stephe002jor
Bradley Stewart*,21,2026,Georgia,SEC,0,0,,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,player.fcgi?id=stewar005bra
Dylan Vigue,22,2026,Georgia,SEC,4,1,0.8,4.43,18,16,,1,1,0,63,50,32,31,5,36,0,77,11,0,3,280,1.365,7.1,0.7,5.1,11,2.14,,player.fcgi?id=vigue-000dyl
Joey Volchko,21,2026,Georgia,SEC,11,2,0.846,3.68,18,18,,1,0,0,95.1,82,46,39,8,46,0,119,9,1,8,410,1.343,7.7,0.8,4.3,11.2,2.59,,player.fcgi?id=volchk000joe
Luke Wiltrakis,21,2026,Georgia,SEC,0,0,,12,5,0,,0,0,0,3,0,4,4,0,7,0,2,0,0,2,16,2.333,0,0,21,6,0.29,,player.fcgi?id=wiltra000luk
Dylan Wood,19,2026,Georgia,SEC,0,0,,3.86,6,0,,0,0,0,4.2,4,4,2,0,9,0,7,1,0,3,30,2.786,7.7,0,17.4,13.5,0.78,,player.fcgi?id=wood--001dyl
Zach Brown,20,2025,Georgia,SEC,3,1,0.75,7.45,10,1,,0,0,0,19.1,25,16,16,2,9,0,15,2,0,1,93,1.759,11.6,0.9,4.2,7,1.67,,player.fcgi?id=brown-014zac
Justin Byrd,21,2025,Georgia,SEC,0,0,,3.74,18,0,,0,0,0,21.2,15,9,9,3,6,0,26,1,0,0,86,0.969,6.2,1.2,2.5,10.8,4.33,,player.fcgi?id=byrd--003jus
Collin Caldwell*,24,2025,Georgia,SEC,0,0,,9,8,0,,0,0,0,3,3,3,3,1,6,0,6,1,0,0,19,3,9,3,18,18,1,,player.fcgi?id=caldwe002col
Davis Chastain,21,2025,Georgia,SEC,3,0,1,4.97,13,0,,0,0,0,12.2,11,7,7,2,5,0,15,0,0,3,52,1.263,7.8,1.4,3.6,10.7,3,,player.fcgi?id=chasta000dav
Brian Curley,22,2025,Georgia,SEC,4,4,0.5,3.55,17,10,,0,0,2,66,42,28,26,7,27,0,85,8,1,5,271,1.045,5.7,1,3.7,11.6,3.15,,player.fcgi?id=curley000bri
Alton Davis*,21,2025,Georgia,SEC,5,0,1,8.14,19,1,,0,0,0,21,29,20,19,5,12,0,27,3,1,0,105,1.952,12.4,2.1,5.1,11.6,2.25,,player.fcgi?id=davis-002alt
Paul Farley,20,2025,Georgia,SEC,1,0,1,4.3,12,0,,0,0,0,14.2,16,10,7,1,12,0,9,5,0,1,73,1.909,9.8,0.6,7.4,5.5,0.75,,player.fcgi?id=farley000pau
Leighton Finley,21,2025,Georgia,SEC,3,2,0.6,4.85,16,14,,0,0,0,68.2,56,42,37,12,25,0,83,12,0,3,302,1.18,7.3,1.6,3.3,10.9,3.32,,player.fcgi?id=finley000lei
Charlie Goldstein*,24,2025,Georgia,SEC,0,2,0,7.66,15,11,,0,0,0,24.2,22,21,21,7,23,0,30,4,0,1,123,1.824,8,2.6,8.4,10.9,1.3,,player.fcgi?id=goldst000cha
Eric Hammond,22,2025,Georgia,SEC,0,0,,4.15,15,0,,0,0,0,17.1,14,9,8,2,7,0,23,3,0,3,74,1.212,7.3,1,3.6,11.9,3.29,,player.fcgi?id=hammon000eri
Zach Harris,21,2025,Georgia,SEC,3,1,0.75,4.55,21,5,,0,0,4,27.2,25,14,14,3,9,0,31,2,0,4,116,1.229,8.1,1,2.9,10.1,3.44,,player.fcgi?id=harris002zac
Matthew Hoskins,21,2025,Georgia,SEC,1,2,0.333,5.93,18,2,,0,0,2,27.1,24,20,18,3,23,1,39,6,0,4,132,1.72,7.9,1,7.6,12.8,1.7,,player.fcgi?id=hoskin000mat
Wyatt Land,19,2025,Georgia,SEC,0,0,,33.75,2,0,,0,0,0,1.1,4,5,5,0,2,0,3,0,0,0,10,4.5,27,0,13.5,20.3,1.5,,player.fcgi?id=land--000wya
Tyler McLoughlin,22,2025,Georgia,SEC,4,0,1,4.19,16,1,,0,0,1,19.1,16,10,9,4,10,0,24,4,0,0,88,1.345,7.4,1.9,4.7,11.2,2.4,,player.fcgi?id=mcloug000tyl
Lucas Morici,21,2025,Georgia,SEC,0,0,,9.82,3,0,,0,0,0,3.2,7,4,4,0,1,0,3,0,0,1,19,2.182,17.2,0,2.5,7.4,3,,player.fcgi?id=morici000luc
JT Quinn,21,2025,Georgia,SEC,1,1,0.5,2.75,17,7,,0,0,1,36,23,13,11,6,17,1,49,1,0,2,146,1.111,5.8,1.5,4.3,12.3,2.88,,player.fcgi?id=quinn-000jt-
DJ Radtke,23,2025,Georgia,SEC,4,0,1,4.45,22,0,,0,0,2,30.1,28,16,15,5,15,0,30,4,0,3,135,1.418,8.3,1.5,4.5,8.9,2,,player.fcgi?id=radtke000dj-
Kolten Smith,21,2025,Georgia,SEC,5,3,0.625,5.23,15,6,,0,0,1,41.1,37,26,24,8,19,0,58,7,1,6,185,1.355,8.1,1.7,4.1,12.6,3.05,,player.fcgi?id=smith-001kol
Jordan Stephens,20,2025,Georgia,SEC,4,0,1,3.92,18,0,,0,0,3,20.2,11,10,9,0,19,1,27,3,0,3,93,1.452,4.8,0,8.3,11.8,1.42,,player.fcgi?id=stephe002jor
Nate Taylor,19,2025,Georgia,SEC,0,0,,1.08,9,0,,0,0,0,8.1,3,1,1,1,2,0,17,1,0,1,31,0.6,3.2,1.1,2.2,18.4,8.5,,player.fcgi?id=taylor005nat
Brian Zeldin,24,2025,Georgia,SEC,2,1,0.667,5.68,19,2,,0,0,0,31.2,31,21,20,4,21,0,36,1,0,7,145,1.642,8.8,1.1,6,10.2,1.71,,player.fcgi?id=zeldin000bri
Max DeJong,22,2024,Georgia,SEC,0,0,,7.2,10,0,,0,0,0,10,11,8,8,3,4,0,7,0,0,0,44,1.5,9.9,2.7,3.6,6.3,1.75,,player.fcgi?id=dejong000max
Zach DeVito,22,2024,Georgia,SEC,2,0,1,2.79,11,1,,0,0,0,9.2,7,3,3,2,7,0,6,0,0,0,43,1.448,6.5,1.9,6.5,5.6,0.86,,player.fcgi?id=devito001zac
Jarvis Evans*,21,2024,Georgia,SEC,3,2,0.6,5.49,16,8,,0,0,0,39.1,38,25,24,7,27,0,47,2,1,8,183,1.653,8.7,1.6,6.2,10.8,1.74,,player.fcgi?id=evans-001jar
Leighton Finley,20,2024,Georgia,SEC,6,1,0.857,4.14,17,16,,0,0,1,76,74,40,35,15,28,0,76,5,0,6,330,1.342,8.8,1.8,3.3,9,2.71,,player.fcgi?id=finley000lei
Blake Gillespie,20,2024,Georgia,SEC,0,0,,12.27,9,1,,0,0,0,7.1,14,12,10,2,5,0,8,0,0,1,43,2.591,17.2,2.5,6.1,9.8,1.6,,player.fcgi?id=gilles000bla
Ryan Gold*,19,2024,Georgia,SEC,0,0,,4.5,2,0,,0,0,0,2,1,1,1,0,1,0,1,0,0,1,8,1,4.5,0,4.5,4.5,1,,player.fcgi?id=gold--001rya
Charlie Goldstein*,23,2024,Georgia,SEC,4,1,0.8,3.72,11,7,,0,0,0,36.1,35,18,15,3,14,0,43,1,0,7,157,1.349,8.7,0.7,3.5,10.7,3.07,,player.fcgi?id=goldst000cha
Zach Harris,20,2024,Georgia,SEC,5,2,0.714,6.87,20,7,,0,0,0,38,45,37,29,9,18,0,45,3,0,2,182,1.658,10.7,2.1,4.3,10.7,2.5,,player.fcgi?id=harris002zac
James Hays,20,2024,Georgia,SEC,0,0,,21,2,0,,0,0,0,3,10,7,7,1,1,0,3,0,0,1,17,3.667,30,3,3,9,3,,player.fcgi?id=hays--000jam
Matthew Hoskins,20,2024,Georgia,SEC,0,0,,19.64,5,2,,0,0,0,3.2,4,8,8,1,7,0,4,2,0,1,24,3,9.8,2.5,17.2,9.8,0.57,,player.fcgi?id=hoskin000mat
Wyatt Land,18,2024,Georgia,SEC,0,0,,6.75,3,0,,0,0,0,2.2,2,2,2,0,4,0,4,0,0,1,14,2.25,6.8,0,13.5,13.5,1,,player.fcgi?id=land--000wya
Chandler Marsh,21,2024,Georgia,SEC,2,0,1,7.2,12,1,,0,0,1,15,15,14,12,1,8,0,21,2,0,1,70,1.533,9,0.6,4.8,12.6,2.63,,player.fcgi?id=marsh-002cha
Tyler McLoughlin,21,2024,Georgia,SEC,0,0,,6,6,0,,0,0,0,6,4,5,4,0,8,0,7,2,1,2,31,2,6,0,12,10.5,0.88,,player.fcgi?id=mcloug000tyl
Christian Mracna,24,2024,Georgia,SEC,4,2,0.667,5.32,20,10,,0,0,1,45.2,48,30,27,6,25,0,73,10,0,2,217,1.599,9.5,1.2,4.9,14.4,2.92,,player.fcgi?id=mracna000chr
Daniel Padysak,23,2024,Georgia,SEC,1,0,1,7.66,15,2,,0,0,0,22.1,23,20,19,7,15,0,21,3,0,1,105,1.701,9.3,2.8,6,8.5,1.4,,player.fcgi?id=padysa000dan
Brandt Pancer,22,2024,Georgia,SEC,0,0,,10.8,10,1,,0,0,0,10,9,12,12,2,10,0,11,1,0,1,49,1.9,8.1,1.8,9,9.9,1.1,,player.fcgi?id=pancer000bra
DJ Radtke,22,2024,Georgia,SEC,1,0,1,3.45,17,0,,0,0,0,15.2,11,6,6,0,11,0,20,5,0,1,70,1.404,6.3,0,6.3,11.5,1.82,,player.fcgi?id=radtke000dj-
Josh Roberge,25,2024,Georgia,SEC,3,1,0.75,7,22,0,,0,0,1,36,44,30,28,6,19,1,37,3,1,3,174,1.75,11,1.5,4.8,9.3,1.95,,player.fcgi?id=roberg002jos
Kolten Smith,20,2024,Georgia,SEC,9,3,0.75,5.56,20,4,,0,0,0,69.2,73,51,43,16,20,1,105,7,0,3,310,1.335,9.4,2.1,2.6,13.6,5.25,,player.fcgi?id=smith-001kol
Ethan Sutton,19,2024,Georgia,SEC,0,1,0,3.38,3,0,,0,0,0,2.2,2,4,1,0,2,0,2,0,0,1,12,1.5,6.8,0,6.8,6.8,1,,player.fcgi?id=sutton000eth
Coleman Willis,21,2024,Georgia,SEC,0,0,,0,6,0,,0,0,0,4,1,0,0,0,4,0,5,1,1,1,17,1.25,2.3,0,9,11.3,1.25,,player.fcgi?id=willis001col
Luke Wiltrakis,19,2024,Georgia,SEC,0,1,0,1.93,5,0,,0,0,0,4.2,4,1,1,0,3,0,9,1,0,0,21,1.5,7.7,0,5.8,17.4,3,,player.fcgi?id=wiltra000luk
Brian Zeldin,23,2024,Georgia,SEC,3,3,0.5,5.66,23,0,,0,0,6,55.2,55,36,35,13,30,1,51,3,0,1,246,1.527,8.9,2.1,4.9,8.2,1.7,,player.fcgi?id=zeldin000bri
Collin Caldwell*,22,2023,Georgia,SEC,2,0,1,8.31,23,0,,0,0,1,17.1,17,16,16,2,20,1,27,4,0,2,93,2.135,8.8,1,10.4,14,1.35,,player.fcgi?id=caldwe002col
Nolan Crisp,23,2023,Georgia,SEC,1,2,0.333,8.23,17,4,,0,0,2,27.1,35,25,25,4,17,3,20,4,2,4,136,1.902,11.5,1.3,5.6,6.6,1.18,,player.fcgi?id=crisp-000nol
Max DeJong,21,2023,Georgia,SEC,0,0,,27,2,0,,0,0,0,1,2,3,3,1,2,0,2,0,0,1,7,4,18,9,18,18,1,,player.fcgi?id=dejong000max
Zach DeVito,21,2023,Georgia,SEC,0,0,,10.29,13,0,,0,0,0,14,19,17,16,1,11,1,13,1,1,1,72,2.143,12.2,0.6,7.1,8.4,1.18,,player.fcgi?id=devito001zac
Jarvis Evans*,20,2023,Georgia,SEC,2,0,1,4.71,10,2,,0,0,0,21,16,11,11,8,8,1,25,3,1,4,88,1.143,6.9,3.4,3.4,10.7,3.13,,player.fcgi?id=evans-001jar
Leighton Finley,19,2023,Georgia,SEC,2,2,0.5,6.26,21,1,,0,0,4,27.1,31,19,19,6,10,1,31,10,0,1,126,1.5,10.2,2,3.3,10.2,3.1,,player.fcgi?id=finley000lei
Blake Gillespie,19,2023,Georgia,SEC,0,1,0,14.66,8,3,,0,0,0,11.2,18,19,19,3,7,0,4,3,0,0,60,2.143,13.9,2.3,5.4,3.1,0.57,,player.fcgi?id=gilles000bla
Charlie Goldstein*,22,2023,Georgia,SEC,3,2,0.6,5.03,14,10,,0,0,0,48.1,47,30,27,7,18,0,47,7,0,4,216,1.345,8.8,1.3,3.4,8.8,2.61,,player.fcgi?id=goldst000cha
Kyle Greenler,23,2023,Georgia,SEC,2,1,0.667,4.7,19,1,,0,0,0,23,28,13,12,3,13,0,25,2,0,4,113,1.783,11,1.2,5.1,9.8,1.92,,player.fcgi?id=greenl000kyl
Matthew Hoskins,19,2023,Georgia,SEC,1,2,0.333,4.12,10,2,,0,0,0,19.2,15,10,9,1,10,0,24,8,1,1,87,1.271,6.9,0.5,4.6,11,2.4,,player.fcgi?id=hoskin000mat
Chandler Marsh,20,2023,Georgia,SEC,1,3,0.25,5.46,23,0,,0,0,0,28,24,17,17,4,28,1,46,5,0,3,139,1.857,7.7,1.3,9,14.8,1.64,,player.fcgi?id=marsh-002cha
Pace Mercer,22,2023,Georgia,SEC,0,0,,15.19,7,0,,0,0,1,5.1,9,11,9,2,10,0,6,0,0,1,35,3.563,15.2,3.4,16.9,10.1,0.6,,player.fcgi?id=mercer000pac
William Pearson,21,2023,Georgia,SEC,0,1,0,5.73,19,0,,0,0,0,22,22,18,14,2,12,3,13,6,0,1,106,1.545,9,0.8,4.9,5.3,1.08,,player.fcgi?id=pearso004wil
DJ Radtke,21,2023,Georgia,SEC,0,0,,12.27,4,0,,0,0,0,3.2,7,5,5,2,0,0,7,2,0,0,19,1.909,17.2,4.9,0,17.2,,,player.fcgi?id=radtke000dj-
Dalton Rhadans,23,2023,Georgia,SEC,3,2,0.6,4.26,33,0,,0,0,2,44.1,46,21,21,11,13,2,38,1,0,0,190,1.331,9.3,2.2,2.6,7.7,2.92,,player.fcgi?id=rhadan000dal
Kolten Smith,19,2023,Georgia,SEC,2,3,0.4,5.26,12,8,,0,0,0,25.2,23,18,15,2,18,0,22,5,0,1,123,1.597,8.1,0.7,6.3,7.7,1.22,,player.fcgi?id=smith-001kol
Liam Sullivan*,21,2023,Georgia,SEC,5,2,0.714,5.77,14,14,,1,1,0,64,60,48,41,14,33,1,75,11,1,5,293,1.453,8.4,2,4.6,10.5,2.27,,player.fcgi?id=sulliv001lia
Luke Wagner*,21,2023,Georgia,SEC,2,3,0.4,10.34,18,1,,0,0,0,31.1,48,38,36,6,21,1,20,5,0,7,165,2.202,13.8,1.7,6,5.7,0.95,,player.fcgi?id=wagner000luk
Jaden Woods*,21,2023,Georgia,SEC,3,3,0.5,5.77,10,10,,0,0,0,48.1,41,31,31,9,25,0,62,5,0,3,210,1.366,7.6,1.7,4.7,11.5,2.48,,player.fcgi?id=woods-000jad
Hank Bearden?,--,2022,Georgia,SEC,2,1,0.667,12.41,9,2,,0,0,0,12.1,25,17,17,3,9,0,11,2,0,3,71,2.757,18.2,2.2,6.6,8,1.22,,player.fcgi?id=bearde000han
Garrett Brown,22,2022,Georgia,SEC,0,1,0,7.71,12,10,,0,0,0,25.2,32,26,22,4,25,0,17,1,1,7,130,2.221,11.2,1.4,8.8,6,0.68,,player.fcgi?id=brown-012gar
Collin Caldwell*,21,2022,Georgia,SEC,1,0,1,13.5,16,0,,0,0,1,12.2,17,21,19,4,14,1,24,4,0,2,73,2.447,12.1,2.8,9.9,17.1,1.71,,player.fcgi?id=caldwe002col
Jonathan Cannon,21,2022,Georgia,SEC,9,4,0.692,4.02,13,13,,0,0,0,78.1,67,36,35,10,12,3,68,12,0,5,325,1.009,7.7,1.1,1.4,7.8,5.67,,player.fcgi?id=cannon002jon
Will Childers,21,2022,Georgia,SEC,0,0,,9,1,1,,0,0,0,1,1,1,1,1,0,0,2,0,0,0,4,1,9,9,0,18,,,player.fcgi?id=childe002mat
Nolan Crisp,22,2022,Georgia,SEC,1,4,0.2,5.12,16,8,,0,0,0,45.2,53,30,26,11,14,2,41,2,0,1,204,1.467,10.4,2.2,2.8,8.1,2.93,,player.fcgi?id=crisp-000nol
Max DeJong,20,2022,Georgia,SEC,1,0,1,2.61,11,0,,0,0,0,10.1,8,3,3,1,6,0,13,2,0,0,47,1.355,7,0.9,5.2,11.3,2.17,,player.fcgi?id=dejong000max
Jack Gowen,22,2022,Georgia,SEC,2,0,1,2.39,25,0,,0,0,10,37.2,19,10,10,3,18,1,50,5,0,1,152,0.982,4.5,0.7,4.3,11.9,2.78,,player.fcgi?id=gowen-000jac
Chandler Marsh,19,2022,Georgia,SEC,4,1,0.8,3.74,24,0,,0,0,0,33.2,23,17,14,4,25,2,44,8,0,10,154,1.426,6.1,1.1,6.7,11.8,1.76,,player.fcgi?id=marsh-002cha
Shane Marshall,22,2022,Georgia,SEC,0,0,,0,2,0,,0,0,0,0.2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,13.5,,,player.fcgi?id=marsha002sha
Bryce Melear,21,2022,Georgia,SEC,1,1,0.5,5.4,7,1,,0,0,0,11.2,14,7,7,1,5,0,15,5,1,0,56,1.629,10.8,0.8,3.9,11.6,3,,player.fcgi?id=melear000bry
William Pearson,20,2022,Georgia,SEC,2,2,0.5,5.28,26,0,,0,0,0,30.2,39,19,18,4,8,1,20,3,0,3,136,1.533,11.4,1.2,2.3,5.9,2.5,,player.fcgi?id=pearso004wil
Jake Poindexter,19,2022,Georgia,SEC,0,0,,23.14,5,0,,0,0,0,4.2,9,12,12,1,9,2,7,1,0,3,33,3.857,17.4,1.9,17.4,13.5,0.78,,player.fcgi?id=poinde000jak
Michael Polk,21,2022,Georgia,SEC,0,2,0,9.62,17,0,,0,0,0,24.1,24,27,26,5,22,1,32,6,0,2,123,1.89,8.9,1.8,8.1,11.8,1.45,,player.fcgi?id=polk--000mic
Davis Rokose*,21,2022,Georgia,SEC,1,0,1,6.85,19,0,,0,0,0,22.1,22,18,17,0,19,1,20,3,0,4,107,1.836,8.9,0,7.7,8.1,1.05,,player.fcgi?id=rokose000dav
Dylan Ross,21,2022,Georgia,SEC,1,0,1,3,2,2,,0,0,0,6,6,2,2,0,4,0,6,1,0,0,29,1.667,9,0,6,9,1.5,,player.fcgi?id=ross--001dyl
Liam Sullivan*,20,2022,Georgia,SEC,4,3,0.571,4.62,12,12,,0,0,0,48.2,50,25,25,10,20,1,51,5,0,7,215,1.438,9.2,1.8,3.7,9.4,2.55,,player.fcgi?id=sulliv001lia
Luke Wagner*,20,2022,Georgia,SEC,5,3,0.625,6.15,19,4,,0,0,0,41,43,29,28,5,27,1,45,3,0,5,194,1.707,9.4,1.1,5.9,9.9,1.67,,player.fcgi?id=wagner000luk
Coleman Willis,19,2022,Georgia,SEC,1,0,1,9.35,14,5,,0,0,0,17.1,20,23,18,1,18,0,16,7,0,10,98,2.192,10.4,0.5,9.3,8.3,0.89,,player.fcgi?id=willis001col
Jaden Woods*,20,2022,Georgia,SEC,1,1,0.5,4.64,25,1,,0,0,3,54.1,46,32,28,12,33,2,80,8,0,6,247,1.454,7.6,2,5.5,13.3,2.42,,player.fcgi?id=woods-000jad
Hank Bearden?,--,2021,Georgia,SEC,3,2,0.6,3.52,14,3,,0,0,0,23,20,12,9,2,14,1,23,2,0,6,104,1.478,7.8,0.8,5.5,9,1.64,,player.fcgi?id=bearde000han
Collin Caldwell*,20,2021,Georgia,SEC,0,1,0,4.58,22,0,,0,0,2,17.2,20,11,9,0,10,0,19,4,0,1,86,1.698,10.2,0,5.1,9.7,1.9,,player.fcgi?id=caldwe002col
Jonathan Cannon,20,2021,Georgia,SEC,4,2,0.667,3.98,13,12,,0,0,0,63.1,56,29,28,7,13,1,57,8,0,4,263,1.089,8,1,1.8,8.1,4.38,,player.fcgi?id=cannon002jon
Nolan Crisp,21,2021,Georgia,SEC,1,1,0.5,3.9,22,0,,0,0,1,27.2,29,13,12,1,14,1,25,4,1,4,128,1.554,9.4,0.3,4.6,8.1,1.79,,player.fcgi?id=crisp-000nol
Max DeJong,19,2021,Georgia,SEC,0,0,,1.8,4,0,,0,0,0,5,4,1,1,0,5,1,9,0,0,1,24,1.8,7.2,0,9,16.2,1.8,,player.fcgi?id=dejong000max
Charlie Goldstein*,20,2021,Georgia,SEC,1,1,0.5,5.4,11,6,,0,0,0,20,20,13,12,1,18,0,21,2,0,4,100,1.9,9,0.5,8.1,9.5,1.17,,player.fcgi?id=goldst000cha
Jack Gowen,21,2021,Georgia,SEC,1,0,1,2.16,23,0,,0,0,1,25,14,6,6,1,21,2,36,3,1,0,109,1.4,5,0.4,7.6,13,1.71,,player.fcgi?id=gowen-000jac
Ben Harris*,21,2021,Georgia,SEC,4,2,0.667,2.33,20,1,,0,0,3,38.2,16,12,10,2,28,3,66,8,0,6,166,1.138,3.7,0.5,6.5,15.4,2.36,,player.fcgi?id=harris009ben
Shane Marshall,21,2021,Georgia,SEC,0,0,,0,1,0,,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,2,0,0,18,0,0,,player.fcgi?id=marsha002sha
Bryce Melear,20,2021,Georgia,SEC,0,0,,10.13,1,0,,0,0,0,2.2,2,3,3,1,2,0,2,2,0,1,14,1.5,6.8,3.4,6.8,6.8,1,,player.fcgi?id=melear000bry
Darryn Pasqua,22,2021,Georgia,SEC,2,3,0.4,5.5,23,0,,0,0,2,34.1,41,22,21,6,8,0,39,3,0,4,154,1.427,10.7,1.6,2.1,10.2,4.88,,player.fcgi?id=pasqua000dar
William Pearson,19,2021,Georgia,SEC,2,0,1,3.91,19,0,,0,0,1,23,23,10,10,1,16,2,17,1,1,3,106,1.696,9,0.4,6.3,6.7,1.06,,player.fcgi?id=pearso004wil
Michael Polk,20,2021,Georgia,SEC,2,1,0.667,1.86,17,0,,0,0,0,19.1,18,8,4,0,17,0,23,2,0,4,93,1.81,8.4,0,7.9,10.7,1.35,,player.fcgi?id=polk--000mic
Brandon Smith,21,2021,Georgia,SEC,0,0,,inf,1,0,,0,0,0,0,3,4,4,1,1,0,0,0,0,0,4,,,,,,0,,player.fcgi?id=smith-035bra
C.J. Smith*,22,2021,Georgia,SEC,0,2,0,3,3,3,,0,0,0,15,13,7,5,1,6,1,13,1,0,1,67,1.267,7.8,0.6,3.6,7.8,2.17,,player.fcgi?id=smith-000cj-
Liam Sullivan*,19,2021,Georgia,SEC,1,2,0.333,3.99,16,4,,0,0,1,38.1,29,17,17,6,20,1,52,2,0,3,164,1.278,6.8,1.4,4.7,12.2,2.6,,player.fcgi?id=sulliv001lia
Luke Wagner*,19,2021,Georgia,SEC,3,3,0.5,4.58,17,12,,0,0,0,39.1,37,23,20,3,24,0,33,5,0,5,176,1.551,8.5,0.7,5.5,7.6,1.38,,player.fcgi?id=wagner000luk
Ryan Webb*,22,2021,Georgia,SEC,3,4,0.429,3.32,11,11,,0,0,0,59.2,43,26,22,10,17,1,82,3,0,4,241,1.006,6.5,1.5,2.6,12.4,4.82,,player.fcgi?id=webb--003rya
Jaden Woods*,19,2021,Georgia,SEC,4,1,0.8,4.58,17,4,,0,0,1,53,33,27,27,9,24,0,53,2,2,2,212,1.075,5.6,1.5,4.1,9,2.21,,player.fcgi?id=woods-000jad
Tucker Bradley*,22,2020,Georgia,SEC,0,0,,0,3,0,,0,0,1,4.1,2,0,0,0,1,0,6,0,0,0,14,0.692,4.2,0,2.1,12.5,6,,player.fcgi?id=bradle000tuc
Garrett Brown,20,2020,Georgia,SEC,1,2,0.333,4.96,4,4,,0,0,0,16.1,16,10,9,0,4,0,13,2,0,2,71,1.224,8.8,0,2.2,7.2,3.25,,player.fcgi?id=brown-012gar
Jonathan Cannon,19,2020,Georgia,SEC,3,0,1,0,5,0,,0,0,0,11.1,4,0,0,0,2,0,12,0,0,0,39,0.529,3.2,0,1.6,9.5,6,,player.fcgi?id=cannon002jon
