Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Casey Smith?,--,2013,Indiana,Big Ten,57,201,175,25,54,9,0,5,34,2,2,12,37,0.309,0.372,0.446,0.818,78,,7,5,2,0,,player.fcgi?id=smith-004cas
Chris Sujka,20,2013,Indiana,Big Ten,46,99,77,18,22,4,0,0,8,9,3,11,20,0.286,0.378,0.338,0.716,26,,1,9,1,0,,player.fcgi?id=sujka-000chr
Sam Travis,19,2013,Indiana,Big Ten,65,302,244,53,77,22,2,10,57,4,4,39,33,0.316,0.419,0.545,0.964,133,,10,1,8,10,,player.fcgi?id=travis000sam
Brian Wilhite,19,2013,Indiana,Big Ten,31,26,24,3,7,0,0,0,0,1,0,1,7,0.292,0.32,0.292,0.612,7,,0,1,0,0,,player.fcgi?id=wilhit000bri
Ricky Alfonso*,21,2014,Indiana,Big Ten,23,30,27,4,6,0,0,1,7,0,0,3,6,0.222,0.3,0.333,0.633,9,,0,0,0,0,,player.fcgi?id=alfons000ric
Evan Bell*,20,2014,Indiana,Big Ten,14,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,2,1,,0,0,0,0,,player.fcgi?id=bell--000eva
Austin Cangelosi,19,2014,Indiana,Big Ten,25,40,35,5,9,0,0,1,3,0,0,3,12,0.257,0.333,0.343,0.676,12,,1,1,0,0,,player.fcgi?id=cangel000aus
Chad Clark?,--,2014,Indiana,Big Ten,21,38,31,2,6,3,0,0,2,0,0,3,7,0.194,0.257,0.29,0.547,9,,0,3,1,0,,player.fcgi?id=clark-009cha
Luke Cureton,19,2014,Indiana,Big Ten,11,20,17,4,1,0,0,0,0,0,0,2,5,0.059,0.2,0.059,0.259,1,,1,0,0,0,,player.fcgi?id=cureto000luk
Craig Dedelow*,19,2014,Indiana,Big Ten,36,81,69,6,16,2,1,0,8,1,0,7,12,0.232,0.299,0.29,0.589,20,,0,4,1,0,,player.fcgi?id=dedelo000cra
Dustin DeMuth*,22,2014,Indiana,Big Ten,57,244,211,40,79,16,1,5,40,4,5,20,40,0.374,0.449,0.531,0.979,112,,10,1,2,3,,player.fcgi?id=demuth000dus
Scott Donley*,22,2014,Indiana,Big Ten,59,245,219,33,71,16,2,5,47,5,3,20,21,0.324,0.379,0.484,0.863,106,,1,2,3,0,,player.fcgi?id=donley000sco
Brad Hartong,22,2014,Indiana,Big Ten,49,178,160,27,50,11,1,3,36,7,1,6,12,0.313,0.345,0.45,0.795,72,,4,4,4,0,,player.fcgi?id=harton000bra
Will Nolden*,22,2014,Indiana,Big Ten,57,199,172,33,52,9,1,0,24,5,1,16,35,0.302,0.366,0.366,0.732,63,,3,5,3,1,,player.fcgi?id=nolden000wil
