Name,Age,Season,Team,Conference,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,Name-additional
Joel Fisher,19,2012,Michigan State,Big Ten,38,140,132,15,37,7,0,2,18,0,0,4,20,0.28,0.321,0.379,0.7,50,,4,0,0,0,,player.fcgi?id=fisher001joe
Kevin Goergen?,--,2012,Michigan State,Big Ten,14,16,14,2,1,0,0,0,1,0,0,1,4,0.071,0.188,0.071,0.259,1,,1,0,0,0,,player.fcgi?id=goerge000kev
Jared Hook?,--,2012,Michigan State,Big Ten,46,161,134,15,35,5,1,3,25,1,0,16,30,0.261,0.344,0.381,0.725,51,,2,7,2,0,,player.fcgi?id=hook--000jar
Andrew Johnson?,--,2012,Michigan State,Big Ten,16,29,22,4,5,1,0,0,5,0,0,5,10,0.227,0.393,0.273,0.666,6,,1,1,0,0,,player.fcgi?id=johnso008and
Ryan Jones,21,2012,Michigan State,Big Ten,60,304,261,52,92,16,3,3,38,8,3,35,20,0.353,0.422,0.471,0.894,123,,1,1,6,1,,player.fcgi?id=jones-004rya
Jordan Keur?,--,2012,Michigan State,Big Ten,60,299,252,47,89,14,0,1,34,9,9,29,27,0.353,0.432,0.421,0.853,106,,9,5,4,1,,player.fcgi?id=keur--000jor
Jeff Kinley*,20,2012,Michigan State,Big Ten,27,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,0,,0,0,0,0,,player.fcgi?id=kinley000jef
Ryan Krill*,19,2012,Michigan State,Big Ten,57,230,191,29,56,8,0,3,28,0,1,21,24,0.293,0.387,0.382,0.769,73,,10,5,3,1,,player.fcgi?id=krill-000rya
John Martinez,20,2012,Michigan State,Big Ten,51,212,186,24,57,8,2,3,32,2,1,16,24,0.307,0.375,0.419,0.794,78,,5,4,1,1,,player.fcgi?id=martin035joh
Jimmy Pickens*,20,2012,Michigan State,Big Ten,57,216,183,27,47,9,3,6,35,2,1,13,47,0.257,0.352,0.437,0.79,80,,14,6,0,0,,player.fcgi?id=picken000jim
Andrew Rademacher?,--,2012,Michigan State,Big Ten,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=radema000and
Blaise Salter,19,2012,Michigan State,Big Ten,31,75,66,10,19,6,0,3,14,1,0,4,12,0.288,0.351,0.515,0.867,34,,3,1,1,0,,player.fcgi?id=salter000bla
Justin Scanlon?,--,2012,Michigan State,Big Ten,60,275,249,40,66,3,1,0,27,11,2,15,34,0.265,0.322,0.285,0.607,71,,7,2,2,0,,player.fcgi?id=scanlo000jus
Tony Wieber,21,2012,Michigan State,Big Ten,39,82,71,14,20,2,0,0,10,1,0,8,14,0.282,0.366,0.31,0.676,22,,2,0,1,0,,player.fcgi?id=wieber000ant
Justin Alleman,19,2013,Michigan State,Big Ten,22,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,,0,0,0,0,,player.fcgi?id=allema000jus
Anthony Cheky*,20,2013,Michigan State,Big Ten,45,199,176,34,49,7,0,1,12,23,2,15,17,0.278,0.342,0.335,0.677,59,,3,3,2,1,,player.fcgi?id=cheky-000ant
Joel Fisher,20,2013,Michigan State,Big Ten,47,200,178,22,42,11,1,5,27,0,0,17,38,0.236,0.315,0.393,0.708,70,,4,0,1,0,,player.fcgi?id=fisher001joe
Cam Gibson*,19,2013,Michigan State,Big Ten,43,193,163,34,53,5,3,0,17,12,3,18,14,0.325,0.387,0.393,0.78,64,,1,7,4,0,,player.fcgi?id=gibson000cam
Kevin Goergen?,--,2013,Michigan State,Big Ten,42,145,124,14,32,3,0,0,14,2,2,16,26,0.258,0.35,0.282,0.632,35,,2,2,1,0,,player.fcgi?id=goerge000kev
Justin Hovis?,--,2013,Michigan State,Big Ten,40,146,130,15,28,5,0,0,16,0,0,7,22,0.215,0.254,0.254,0.507,33,,0,8,1,0,,player.fcgi?id=hovis-000jus
Jordan Keur?,--,2013,Michigan State,Big Ten,30,133,104,14,35,7,0,1,20,9,4,12,10,0.337,0.431,0.433,0.864,45,,9,3,5,0,,player.fcgi?id=keur--000jor
Ryan Krill*,20,2013,Michigan State,Big Ten,50,214,191,24,55,11,1,1,25,0,1,14,26,0.288,0.336,0.372,0.708,71,,3,0,6,3,,player.fcgi?id=krill-000rya
John Martinez,21,2013,Michigan State,Big Ten,10,39,33,4,3,1,0,0,2,1,0,5,7,0.091,0.211,0.121,0.332,4,,0,1,0,0,,player.fcgi?id=martin035joh
Andrew Mulato,21,2013,Michigan State,Big Ten,4,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0,,player.fcgi?id=mulato000and
PJ Nowak,19,2013,Michigan State,Big Ten,17,52,44,4,10,3,0,0,2,0,4,4,2,0.227,0.32,0.296,0.616,13,,2,2,0,0,,player.fcgi?id=nowak-000pj-
Jimmy Pickens*,21,2013,Michigan State,Big Ten,50,225,195,39,59,13,2,9,42,6,4,19,39,0.303,0.377,0.528,0.905,103,,6,2,3,0,,player.fcgi?id=picken000jim
Ryan Richardson,21,2013,Michigan State,Big Ten,50,237,189,33,54,2,1,0,25,5,3,24,20,0.286,0.406,0.307,0.713,58,,17,3,4,0,,player.fcgi?id=richar003rya
Blaise Salter,20,2013,Michigan State,Big Ten,47,202,181,28,62,14,0,5,35,1,0,14,30,0.343,0.403,0.503,0.906,91,,5,1,1,0,,player.fcgi?id=salter000bla
Hunter Smith?,--,2013,Michigan State,Big Ten,5,4,3,1,1,0,0,0,0,0,0,1,0,0.333,0.5,0.333,0.833,1,,0,0,0,0,,player.fcgi?id=smith-001hun
Chase Toth?,--,2013,Michigan State,Big Ten,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=toth--000cha
Anthony Cheky*,21,2014,Michigan State,Big Ten,57,254,227,38,62,5,2,1,14,29,6,17,24,0.273,0.328,0.326,0.654,74,,2,7,1,0,,player.fcgi?id=cheky-000ant
Dan Durkin*,--,2014,Michigan State,Big Ten,23,66,57,8,13,2,0,0,6,0,0,6,18,0.228,0.313,0.263,0.576,15,,1,2,0,0,,player.fcgi?id=durkin000dan
Joel Fisher,21,2014,Michigan State,Big Ten,56,237,216,21,57,13,0,5,39,1,1,10,40,0.264,0.3,0.394,0.693,85,,4,0,7,0,,player.fcgi?id=fisher001joe
Cam Gibson*,20,2014,Michigan State,Big Ten,57,261,222,35,70,8,4,2,18,16,5,32,31,0.315,0.405,0.414,0.82,92,,3,2,2,0,,player.fcgi?id=gibson000cam
Justin Hovis?,--,2014,Michigan State,Big Ten,49,155,133,7,22,2,0,0,9,0,1,14,19,0.165,0.248,0.181,0.429,24,,1,6,1,0,,player.fcgi?id=hovis-000jus
Ryan Krill*,21,2014,Michigan State,Big Ten,55,236,205,27,48,16,0,3,15,2,0,24,36,0.234,0.322,0.356,0.678,73,,3,3,1,1,,player.fcgi?id=krill-000rya
Connor Mohr,19,2014,Michigan State,Big Ten,8,3,3,1,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1,,0,0,0,0,,player.fcgi?id=mohr--000con
Johnny Nate?,--,2014,Michigan State,Big Ten,40,149,125,12,28,2,1,0,14,1,4,13,20,0.224,0.327,0.256,0.583,32,,7,2,2,0,,player.fcgi?id=nate--000joh
PJ Nowak,20,2014,Michigan State,Big Ten,23,67,55,4,9,1,0,0,2,2,1,8,10,0.164,0.266,0.182,0.447,10,,0,3,1,0,,player.fcgi?id=nowak-000pj-
Jimmy Pickens*,22,2014,Michigan State,Big Ten,56,242,201,38,64,10,3,5,35,22,5,34,49,0.318,0.427,0.473,0.899,95,,4,3,0,8,,player.fcgi?id=picken000jim
Alex Rapanos?,--,2014,Michigan State,Big Ten,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=rapano000ale
Ryan Richardson,22,2014,Michigan State,Big Ten,57,243,216,26,60,10,0,0,26,13,4,9,25,0.278,0.344,0.324,0.669,70,,14,2,2,0,,player.fcgi?id=richar003rya
Blaise Salter,21,2014,Michigan State,Big Ten,57,251,221,34,70,22,0,5,50,0,2,17,27,0.317,0.375,0.484,0.859,107,,7,0,6,3,,player.fcgi?id=salter000bla
Hunter Smith?,--,2014,Michigan State,Big Ten,7,14,12,2,1,0,0,0,1,0,0,0,5,0.083,0.143,0.083,0.226,1,,1,0,1,0,,player.fcgi?id=smith-001hun
Chase Toth?,--,2014,Michigan State,Big Ten,17,15,10,7,4,1,0,0,1,2,0,2,3,0.4,0.571,0.5,1.071,5,,2,1,0,0,,player.fcgi?id=toth--000cha
Anthony Cheky*,22,2015,Michigan State,Big Ten,45,164,144,22,45,6,1,0,20,12,6,13,8,0.313,0.375,0.368,0.743,53,,2,4,1,0,,player.fcgi?id=cheky-000ant
Dan Durkin*,--,2015,Michigan State,Big Ten,16,41,34,7,9,1,0,0,5,0,0,7,11,0.265,0.39,0.294,0.684,10,,0,0,0,0,,player.fcgi?id=durkin000dan
Cam Gibson*,21,2015,Michigan State,Big Ten,57,267,231,54,68,10,4,5,32,17,4,30,35,0.294,0.378,0.437,0.816,101,,3,0,3,1,,player.fcgi?id=gibson000cam
Justin Hovis?,--,2015,Michigan State,Big Ten,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,,player.fcgi?id=hovis-000jus
Brandon Hughes#,19,2015,Michigan State,Big Ten,56,228,200,33,56,7,0,6,27,3,3,19,29,0.28,0.353,0.405,0.758,81,,4,4,1,2,,player.fcgi?id=hughes000bra
Ryan Krill*,22,2015,Michigan State,Big Ten,56,245,205,42,72,13,1,13,57,1,3,27,30,0.351,0.439,0.615,1.053,126,,8,1,4,2,,player.fcgi?id=krill-000rya
Zack McGuire,20,2015,Michigan State,Big Ten,20,45,41,2,10,2,0,1,8,0,0,3,10,0.244,0.289,0.366,0.655,15,,0,0,1,0,,player.fcgi?id=mcguir000zac
Connor Mohr,20,2015,Michigan State,Big Ten,6,8,5,2,2,0,0,0,0,1,0,2,2,0.4,0.571,0.4,0.971,2,,0,1,0,0,,player.fcgi?id=mohr--000con
Johnny Nate?,--,2015,Michigan State,Big Ten,29,76,60,10,12,2,1,1,5,1,0,6,13,0.2,0.286,0.317,0.602,19,,2,6,2,0,,player.fcgi?id=nate--000joh
Ryan Richardson,23,2015,Michigan State,Big Ten,57,255,222,27,65,8,3,2,28,7,5,13,26,0.293,0.366,0.383,0.749,85,,15,1,4,0,,player.fcgi?id=richar003rya
Chad Roskelly,20,2015,Michigan State,Big Ten,51,210,196,22,54,8,0,5,30,1,1,6,19,0.276,0.303,0.393,0.696,77,,3,2,3,0,,player.fcgi?id=roskel000cha
Blaise Salter,22,2015,Michigan State,Big Ten,57,248,220,24,59,13,0,6,40,0,0,13,37,0.268,0.339,0.409,0.748,90,,12,0,3,0,,player.fcgi?id=salter000bla
Hunter Smith?,--,2015,Michigan State,Big Ten,8,13,11,1,2,0,0,0,1,0,1,2,5,0.182,0.308,0.182,0.49,2,,0,0,0,0,,player.fcgi?id=smith-001hun
Chase Toth?,--,2015,Michigan State,Big Ten,25,14,12,12,2,0,0,0,0,0,1,2,5,0.167,0.286,0.167,0.452,2,,0,0,0,0,,player.fcgi?id=toth--000cha
Alex Troop*,18,2015,Michigan State,Big Ten,33,60,53,6,12,5,0,0,4,0,1,5,19,0.226,0.305,0.321,0.626,17,,1,1,0,0,,player.fcgi?id=troop-000ale
Mark Weist,22,2015,Michigan State,Big Ten,57,258,228,43,79,19,2,6,37,11,4,17,25,0.347,0.407,0.526,0.933,120,,9,0,4,1,,player.fcgi?id=weist-000mar
Kory Young,19,2015,Michigan State,Big Ten,34,91,75,14,16,5,0,0,8,0,2,9,20,0.213,0.322,0.28,0.602,21,,3,4,0,0,,player.fcgi?id=young-000kor
Lucas Zilli?,--,2015,Michigan State,Big Ten,5,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=zilli-000luc
Royce Ando,18,2016,Michigan State,Big Ten,43,149,137,15,27,2,3,0,8,1,1,10,18,0.197,0.252,0.256,0.507,35,,0,2,0,0,,player.fcgi?id=ando--000roy
Marty Bechina,19,2016,Michigan State,Big Ten,55,248,214,30,56,11,0,2,23,6,5,16,45,0.262,0.324,0.341,0.665,73,,5,10,3,1,,player.fcgi?id=bechin000mar
Matt Byars,20,2016,Michigan State,Big Ten,55,228,204,27,58,16,2,4,26,3,0,15,35,0.284,0.335,0.441,0.776,90,,2,4,3,1,,player.fcgi?id=byars-000mat
Dan Chmielewski,20,2016,Michigan State,Big Ten,23,69,65,7,20,3,0,0,5,0,2,2,6,0.308,0.348,0.354,0.702,23,,2,0,0,0,,player.fcgi?id=chmiel000dan
Dan Durkin*,--,2016,Michigan State,Big Ten,56,248,207,31,67,9,0,6,32,5,1,24,41,0.324,0.403,0.454,0.857,94,,6,7,4,2,,player.fcgi?id=durkin000dan
Taylor Grace?,--,2016,Michigan State,Big Ten,28,97,89,11,20,1,0,0,14,1,2,6,17,0.225,0.268,0.236,0.504,21,,0,0,2,0,,player.fcgi?id=grace-001tay
Justin Hovis?,--,2016,Michigan State,Big Ten,54,210,180,17,44,6,2,0,24,1,0,15,24,0.244,0.295,0.3,0.595,54,,0,10,5,0,,player.fcgi?id=hovis-000jus
Brandon Hughes#,20,2016,Michigan State,Big Ten,55,249,208,43,63,11,2,2,31,17,5,28,39,0.303,0.393,0.404,0.797,84,,5,5,3,1,,player.fcgi?id=hughes000bra
Robbie Jones*,19,2016,Michigan State,Big Ten,6,8,7,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,,0,1,0,0,,player.fcgi?id=jones-040rob
Jake Kruk?,--,2016,Michigan State,Big Ten,11,10,10,2,3,0,0,0,0,1,1,0,1,0.3,0.3,0.3,0.6,3,,0,0,0,0,,player.fcgi?id=kruk--000jak
Zack McGuire,21,2016,Michigan State,Big Ten,30,85,76,8,19,7,0,2,14,0,0,7,12,0.25,0.318,0.421,0.739,32,,1,0,1,1,,player.fcgi?id=mcguir000zac
PJ Nowak,22,2016,Michigan State,Big Ten,2,1,0,0,0,0,0,0,0,0,0,0,0,,1,,,0,,1,0,0,0,,player.fcgi?id=nowak-000pj-
Chad Roskelly,21,2016,Michigan State,Big Ten,20,55,47,5,9,5,0,0,6,0,0,3,7,0.192,0.296,0.298,0.594,14,,4,1,0,0,,player.fcgi?id=roskel000cha
Will Salter,20,2016,Michigan State,Big Ten,3,3,3,0,2,1,0,0,1,0,0,0,0,0.667,0.667,1,1.667,3,,0,0,0,0,,player.fcgi?id=salter002wil
Kris Simonton,22,2016,Michigan State,Big Ten,45,172,155,20,45,5,3,0,17,9,6,11,25,0.29,0.353,0.361,0.714,56,,4,2,0,1,,player.fcgi?id=simont000kri
Alex Troop*,19,2016,Michigan State,Big Ten,12,52,43,11,16,6,0,1,13,2,0,8,11,0.372,0.471,0.581,1.052,25,,0,1,0,0,,player.fcgi?id=troop-000ale
Kory Young,20,2016,Michigan State,Big Ten,33,70,58,13,13,1,0,0,3,4,1,7,11,0.224,0.324,0.241,0.565,14,,2,2,1,0,,player.fcgi?id=young-000kor
Jordan Zimmerman,21,2016,Michigan State,Big Ten,56,257,219,50,82,17,2,9,37,10,6,32,33,0.374,0.461,0.594,1.055,130,,4,1,1,2,,player.fcgi?id=zimmer003jor
Royce Ando,19,2017,Michigan State,Big Ten,50,195,171,32,48,7,1,2,19,8,3,16,42,0.281,0.353,0.368,0.721,63,,3,5,0,1,,player.fcgi?id=ando--000roy
Justin Antoncic,19,2017,Michigan State,Big Ten,9,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=antonc000jus
Marty Bechina,20,2017,Michigan State,Big Ten,52,236,190,34,50,8,1,7,29,11,2,31,41,0.263,0.396,0.426,0.822,81,,12,1,2,0,,player.fcgi?id=bechin000mar
Matt Byars,21,2017,Michigan State,Big Ten,47,202,166,34,45,14,1,4,25,2,2,30,46,0.271,0.383,0.44,0.823,73,,2,1,3,0,,player.fcgi?id=byars-000mat
Dan Chmielewski,21,2017,Michigan State,Big Ten,49,208,182,30,50,11,1,4,25,12,1,10,28,0.275,0.333,0.412,0.745,75,,7,7,2,0,,player.fcgi?id=chmiel000dan
Dan Durkin*,--,2017,Michigan State,Big Ten,52,243,197,40,55,16,0,9,42,5,3,28,42,0.279,0.401,0.498,0.898,98,,14,1,3,0,,player.fcgi?id=durkin000dan
Danny Gleaves,19,2017,Michigan State,Big Ten,23,92,79,22,23,6,0,1,15,7,3,8,24,0.291,0.36,0.405,0.765,32,,1,3,1,0,,player.fcgi?id=gleave000dan
Taylor Grace?,--,2017,Michigan State,Big Ten,11,21,19,3,4,2,0,1,3,0,0,2,3,0.211,0.286,0.474,0.759,9,,0,0,0,0,,player.fcgi?id=grace-001tay
Brandon Hughes#,21,2017,Michigan State,Big Ten,48,227,203,34,67,12,1,5,35,30,6,18,24,0.33,0.382,0.473,0.855,96,,1,2,3,2,,player.fcgi?id=hughes000bra
Robbie Jones*,20,2017,Michigan State,Big Ten,14,18,17,1,4,1,0,0,4,1,0,0,3,0.235,0.235,0.294,0.529,5,,0,1,0,0,,player.fcgi?id=jones-040rob
Bryce Kelley*,20,2017,Michigan State,Big Ten,41,176,156,34,55,7,3,0,21,13,5,17,37,0.353,0.416,0.436,0.852,68,,0,3,0,0,,player.fcgi?id=kelley000bry
Jake Kruk?,--,2017,Michigan State,Big Ten,6,9,8,0,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,2,,0,1,0,0,,player.fcgi?id=kruk--000jak
Zack McGuire,22,2017,Michigan State,Big Ten,50,212,183,32,51,15,0,7,32,0,0,20,36,0.279,0.356,0.475,0.831,87,,3,4,2,0,,player.fcgi?id=mcguir000zac
Chad Roskelly,22,2017,Michigan State,Big Ten,39,132,108,19,35,6,0,3,24,2,0,15,20,0.324,0.428,0.463,0.891,50,,6,1,2,0,,player.fcgi?id=roskel000cha
Will Salter,21,2017,Michigan State,Big Ten,14,25,24,4,4,1,0,1,4,0,0,0,4,0.167,0.167,0.333,0.5,8,,0,1,0,0,,player.fcgi?id=salter002wil
Alex Troop*,20,2017,Michigan State,Big Ten,40,99,81,11,26,6,1,3,12,2,1,18,22,0.321,0.444,0.531,0.975,43,,0,0,0,0,,player.fcgi?id=troop-000ale
Kory Young,21,2017,Michigan State,Big Ten,21,28,19,3,4,1,0,0,5,3,1,4,5,0.211,0.36,0.263,0.623,5,,1,3,1,0,,player.fcgi?id=young-000kor
Royce Ando,20,2018,Michigan State,Big Ten,16,49,42,5,12,1,0,0,5,5,1,4,5,0.286,0.333,0.31,0.643,13,,0,1,2,0,,player.fcgi?id=ando--000roy
Justin Antoncic,20,2018,Michigan State,Big Ten,51,215,182,29,49,7,2,1,18,14,6,23,26,0.269,0.36,0.346,0.706,63,,5,1,4,0,,player.fcgi?id=antonc000jus
Marty Bechina,21,2018,Michigan State,Big Ten,49,196,170,25,42,9,1,6,23,5,0,19,30,0.247,0.34,0.418,0.758,71,,5,2,0,0,,player.fcgi?id=bechin000mar
Dan Chmielewski,22,2018,Michigan State,Big Ten,43,152,139,13,31,3,3,0,13,10,1,7,22,0.223,0.275,0.288,0.563,40,,3,3,0,0,,player.fcgi?id=chmiel000dan
Danny Gleaves,20,2018,Michigan State,Big Ten,41,126,114,22,31,3,1,0,8,25,3,7,26,0.272,0.336,0.316,0.652,36,,4,1,0,0,,player.fcgi?id=gleave000dan
Zach Iverson*,19,2018,Michigan State,Big Ten,44,184,163,21,41,7,2,0,14,3,2,20,36,0.252,0.333,0.319,0.652,52,,0,1,0,1,,player.fcgi?id=iverso000zac
Robbie Jones*,21,2018,Michigan State,Big Ten,4,11,10,1,1,0,0,0,0,1,0,1,4,0.1,0.182,0.1,0.282,1,,0,0,0,0,,player.fcgi?id=jones-040rob
Bryce Kelley*,21,2018,Michigan State,Big Ten,50,223,199,27,54,6,1,0,16,33,7,20,32,0.271,0.336,0.312,0.648,62,,0,3,1,0,,player.fcgi?id=kelley000bry
Ryan King,19,2018,Michigan State,Big Ten,38,156,143,14,37,4,0,0,13,0,2,7,25,0.259,0.29,0.287,0.576,41,,0,4,2,0,,player.fcgi?id=king--001rya
Nic Lacayo,21,2018,Michigan State,Big Ten,24,70,62,5,14,2,0,0,6,1,1,3,12,0.226,0.294,0.258,0.552,16,,3,2,0,0,,player.fcgi?id=lacayo000nic
Zack McGuire,23,2018,Michigan State,Big Ten,46,191,167,23,39,5,0,6,27,2,0,17,38,0.234,0.318,0.371,0.689,62,,4,2,1,1,,player.fcgi?id=mcguir000zac
Bailey Peterson,20,2018,Michigan State,Big Ten,24,57,42,2,6,2,1,0,3,1,2,11,16,0.143,0.339,0.238,0.577,10,,2,1,1,0,,player.fcgi?id=peters000bai
Adam Proctor*,20,2018,Michigan State,Big Ten,33,113,92,11,20,3,0,2,12,0,0,14,32,0.217,0.363,0.315,0.678,29,,7,0,0,0,,player.fcgi?id=procto000ada
Chad Roskelly,23,2018,Michigan State,Big Ten,44,165,150,19,40,5,1,5,27,0,1,8,23,0.267,0.317,0.413,0.73,62,,4,1,2,0,,player.fcgi?id=roskel000cha
Will Salter,22,2018,Michigan State,Big Ten,11,23,20,1,3,0,0,0,0,0,0,0,5,0.15,0.227,0.15,0.377,3,,2,1,0,0,,player.fcgi?id=salter002wil
Joe Stewart,20,2018,Michigan State,Big Ten,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=stewar003joe
Kory Young,22,2018,Michigan State,Big Ten,28,68,54,5,7,0,1,0,5,0,2,5,12,0.13,0.226,0.167,0.393,9,,2,6,1,0,,player.fcgi?id=young-000kor
Peter Ahn*,20,2019,Michigan State,Big Ten,13,11,8,2,0,0,0,0,0,0,0,2,6,0,0.273,0,0.273,0,,1,0,0,0,,player.fcgi?id=ahn---010pet
Royce Ando,21,2019,Michigan State,Big Ten,54,218,184,21,56,9,1,1,26,3,1,22,34,0.304,0.394,0.38,0.774,70,,7,2,3,0,,player.fcgi?id=ando--000roy
Justin Antoncic,21,2019,Michigan State,Big Ten,43,162,137,14,32,1,1,0,16,5,4,21,32,0.234,0.338,0.256,0.593,35,,1,2,1,0,,player.fcgi?id=antonc000jus
Marty Bechina,22,2019,Michigan State,Big Ten,54,228,196,25,51,17,0,5,35,13,1,21,44,0.26,0.342,0.424,0.766,83,,6,0,5,0,,player.fcgi?id=bechin000mar
Dan Chmielewski,23,2019,Michigan State,Big Ten,52,212,195,20,41,6,0,0,10,5,3,4,30,0.21,0.235,0.241,0.476,47,,3,8,2,0,,player.fcgi?id=chmiel000dan
Scott Combs,21,2019,Michigan State,Big Ten,15,22,20,2,3,1,0,0,2,0,0,2,6,0.15,0.227,0.2,0.427,4,,0,0,0,0,,player.fcgi?id=combs-000sco
Danny Gleaves,21,2019,Michigan State,Big Ten,9,34,31,3,4,1,0,0,1,2,0,2,10,0.129,0.182,0.161,0.343,5,,0,1,0,0,,player.fcgi?id=gleave000dan
Zach Iverson*,20,2019,Michigan State,Big Ten,48,159,135,14,24,7,1,1,15,0,0,21,45,0.178,0.287,0.267,0.553,36,,0,2,1,0,,player.fcgi?id=iverso000zac
Bryce Kelley*,22,2019,Michigan State,Big Ten,54,241,217,22,65,6,1,0,12,18,5,17,40,0.3,0.352,0.336,0.688,73,,1,5,1,0,,player.fcgi?id=kelley000bry
Nic Lacayo,22,2019,Michigan State,Big Ten,37,113,96,7,24,6,0,0,10,2,2,6,9,0.25,0.342,0.313,0.655,30,,8,2,1,0,,player.fcgi?id=lacayo000nic
Casey Mayes*,19,2019,Michigan State,Big Ten,30,68,63,9,15,3,1,4,10,1,1,4,28,0.238,0.294,0.508,0.802,32,,1,0,0,0,,player.fcgi?id=mayes-000cas
Andrew Morrow,21,2019,Michigan State,Big Ten,18,37,31,3,5,1,0,0,2,0,0,5,9,0.161,0.27,0.194,0.464,6,,0,0,1,0,,player.fcgi?id=morrow000and
Bailey Peterson,21,2019,Michigan State,Big Ten,32,98,81,16,19,2,1,0,4,4,1,15,20,0.235,0.367,0.284,0.651,23,,2,0,0,0,,player.fcgi?id=peters000bai
Adam Proctor*,21,2019,Michigan State,Big Ten,40,123,102,19,17,2,0,9,16,0,0,18,41,0.167,0.301,0.451,0.752,46,,2,0,1,1,,player.fcgi?id=procto000ada
Brendan Regan,20,2019,Michigan State,Big Ten,19,13,12,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,,0,1,0,0,,player.fcgi?id=regan-000bre
Joe Stewart,21,2019,Michigan State,Big Ten,15,19,17,0,3,1,0,0,1,1,0,1,6,0.177,0.211,0.235,0.446,4,,0,0,1,0,,player.fcgi?id=stewar003joe
Reese Trahey*,18,2019,Michigan State,Big Ten,37,96,69,12,11,2,0,0,6,2,0,22,21,0.159,0.37,0.188,0.558,13,,1,4,0,0,,player.fcgi?id=trahey000ree
Zaid Walker,19,2019,Michigan State,Big Ten,49,188,179,23,51,11,0,1,19,4,4,7,37,0.285,0.309,0.363,0.672,65,,0,0,2,1,,player.fcgi?id=walker000zai
Peter Ahn*,21,2020,Michigan State,Big Ten,15,66,56,14,19,4,3,1,15,3,1,7,13,0.339,0.4,0.571,0.971,32,,0,1,2,0,,player.fcgi?id=ahn---010pet
Justin Antoncic,22,2020,Michigan State,Big Ten,8,16,12,3,2,0,0,0,1,0,0,4,3,0.167,0.375,0.167,0.542,2,,0,0,0,0,,player.fcgi?id=antonc000jus
Adam Berghorst,19,2020,Michigan State,Big Ten,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,,player.fcgi?id=bergho000ada
Scott Combs,22,2020,Michigan State,Big Ten,8,18,15,0,4,1,0,0,2,0,0,2,5,0.267,0.353,0.333,0.686,5,,0,1,0,0,,player.fcgi?id=combs-000sco
Jack Frank*,19,2020,Michigan State,Big Ten,12,44,43,4,9,1,1,1,7,1,0,1,16,0.209,0.227,0.349,0.576,15,,0,0,0,0,,player.fcgi?id=frank-001jac
Danny Gleaves,22,2020,Michigan State,Big Ten,5,11,6,4,2,0,0,0,0,3,0,4,2,0.333,0.636,0.333,0.97,2,,1,0,0,0,,player.fcgi?id=gleave000dan
Trevor Hopman?,--,2020,Michigan State,Big Ten,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.5,0,,1,0,0,0,,player.fcgi?id=hopman000tre
Zach Hopman*,20,2020,Michigan State,Big Ten,7,4,4,2,1,0,0,0,0,0,0,0,1,0.25,0.25,0.25,0.5,1,,0,0,0,0,,player.fcgi?id=hopman000zac
Zach Iverson*,21,2020,Michigan State,Big Ten,15,60,52,10,12,1,1,0,10,0,0,6,19,0.231,0.322,0.289,0.611,15,,1,1,0,0,,player.fcgi?id=iverso000zac
Dillon Kark,19,2020,Michigan State,Big Ten,8,31,25,4,6,1,0,0,2,1,0,2,10,0.24,0.345,0.28,0.625,7,,2,2,0,0,,player.fcgi?id=kark--000dil
Bryce Kelley*,23,2020,Michigan State,Big Ten,15,71,60,17,24,1,0,0,4,8,3,9,7,0.4,0.486,0.417,0.902,25,,1,1,0,0,,player.fcgi?id=kelley000bry
Casey Mayes*,20,2020,Michigan State,Big Ten,11,37,33,2,9,2,0,1,6,2,0,3,13,0.273,0.333,0.424,0.758,14,,0,1,0,1,,player.fcgi?id=mayes-000cas
Andrew Morrow,22,2020,Michigan State,Big Ten,12,46,37,6,10,6,1,0,10,0,1,6,10,0.27,0.413,0.487,0.9,18,,3,0,0,0,,player.fcgi?id=morrow000and
