Name,Age,Season,Team,Conference,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes,Name-additional,
Reese Bassinger,23,2026,West Virginia,Big 12,4,3,0.571,3.3,31,0,,0,0,2,60,51,27,22,3,20,1,64,8,0,3,251,1.183,7.7,0.5,3,9.6,3.2,,player.fcgi?id=bassin000ree,
Chansen Cole,20,2026,West Virginia,Big 12,10,2,0.833,3.43,21,19,,1,0,0,99.2,86,42,38,11,32,2,109,10,0,6,420,1.184,7.8,1,2.9,9.8,3.41,,player.fcgi?id=cole--010cha,
JD Costanzo*,20,2026,West Virginia,Big 12,0,0,,13.5,4,0,,0,0,0,2.2,7,6,4,1,3,1,3,0,0,1,18,3.75,23.6,3.4,10.1,10.1,1,,player.fcgi?id=costan000jd-,
Carson Estridge,22,2026,West Virginia,Big 12,4,0,1,3.09,22,0,,0,0,2,35,32,15,12,2,13,0,34,8,0,2,155,1.286,8.2,0.5,3.3,8.7,2.62,,player.fcgi?id=estrid000car,
JJ Glasscock,21,2026,West Virginia,Big 12,0,0,,0,1,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,9,,,player.fcgi?id=glassc000jj-,
David Hagen,21,2026,West Virginia,Big 12,4,1,0.8,3.48,15,8,,0,0,1,31,21,15,12,3,20,0,23,5,0,4,137,1.323,6.1,0.9,5.8,6.7,1.15,,player.fcgi?id=hagen-000dav,
Bryson Hoff,20,2026,West Virginia,Big 12,0,0,,27,1,0,,0,0,0,0.2,2,2,2,0,0,0,1,0,0,1,4,3,27,0,0,13.5,,,player.fcgi?id=hoff--000bry,
JT Huether,19,2026,West Virginia,Big 12,0,0,,7.71,8,0,,0,0,0,4.2,1,4,4,0,8,0,8,4,0,1,28,1.929,1.9,0,15.4,15.4,1,,player.fcgi?id=huethe000jt-,
Ian Korn,23,2026,West Virginia,Big 12,6,1,0.857,3.39,24,3,,0,0,2,79.2,73,33,30,7,13,0,70,5,0,2,321,1.079,8.2,0.8,1.5,7.9,5.38,,player.fcgi?id=korn--000ian,
Ben McDougal*,22,2026,West Virginia,Big 12,1,0,1,3.14,13,0,,0,0,1,14.1,12,9,5,4,8,0,13,3,0,1,66,1.395,7.5,2.5,5,8.2,1.63,,player.fcgi?id=mcdoug000ben,
Chase Meyer,21,2026,West Virginia,Big 12,1,0,1,2.7,2,0,,0,0,0,3.1,0,1,1,0,3,0,5,3,0,2,16,0.9,0,0,8.1,13.5,1.67,,player.fcgi?id=meyer-006cha,
Andrew Middleton*,21,2026,West Virginia,Big 12,0,0,,0,1,0,,0,0,0,0.1,1,0,0,0,1,0,0,0,0,0,3,6,27,0,27,0,0,,player.fcgi?id=middle001and,
Dawson Montesa,20,2026,West Virginia,Big 12,6,5,0.545,5.38,19,15,,0,0,1,77,66,49,46,13,44,1,92,9,0,6,344,1.429,7.7,1.5,5.1,10.8,2.09,,player.fcgi?id=montes000daw,
Wyatt Mosley*,18,2026,West Virginia,Big 12,0,0,,27,1,0,,0,0,0,1,1,3,3,0,3,0,1,1,0,0,7,4,9,0,27,9,0.33,,player.fcgi?id=mosley000wya,
David Perez,--,2026,West Virginia,Big 12,2,1,0.667,5,15,0,,0,0,6,18,17,14,10,3,12,2,21,0,0,4,82,1.611,8.5,1.5,6,10.5,1.75,,player.fcgi?id=perez-009dav,
Brayden Robinson,--,2026,West Virginia,Big 12,0,0,,13.5,1,0,,0,0,0,0.2,2,1,1,0,2,0,0,0,0,0,5,6,27,0,27,0,0,,player.fcgi?id=robins012bra,
Weston Smith,19,2026,West Virginia,Big 12,0,0,,6.35,6,0,,0,0,0,5.2,6,4,4,1,1,0,3,1,0,0,24,1.235,9.5,1.6,1.6,4.8,3,,player.fcgi?id=smith-007wes,
Mac Stiffler,20,2026,West Virginia,Big 12,0,0,,7.94,7,0,,0,0,0,5.2,8,7,5,1,6,0,10,3,0,3,35,2.471,12.7,1.6,9.5,15.9,1.67,,player.fcgi?id=stiffl000mac,
Joshua Surigao*,20,2026,West Virginia,Big 12,0,0,,3.6,11,0,,0,0,0,10,9,4,4,0,7,0,11,0,0,0,42,1.6,8.1,0,6.3,9.9,1.57,,player.fcgi?id=suriga000jos,
Bryson Thacker*,21,2026,West Virginia,Big 12,0,1,0,7.2,13,1,,0,0,0,10,9,11,8,4,10,0,13,3,0,3,53,1.9,8.1,3.6,9,11.7,1.3,,player.fcgi?id=thacke001bry,
Maxx Yehl*,22,2026,West Virginia,Big 12,9,3,0.75,2.13,18,18,,1,0,0,97,78,33,23,7,26,0,112,19,0,5,402,1.072,7.2,0.6,2.4,10.4,4.31,,player.fcgi?id=yehl--000max,
Bryant Yoak,20,2026,West Virginia,Big 12,0,0,,11.05,9,0,,0,0,0,7.1,6,10,9,3,9,0,11,3,0,0,40,2.045,7.4,3.7,11,13.5,1.22,,player.fcgi?id=yoak--000bry,
Reese Bassinger,22,2025,West Virginia,Big 12,7,1,0.875,4.23,30,0,,0,0,5,61.2,63,36,29,6,12,2,43,11,0,1,269,1.216,9.2,0.9,1.8,6.3,3.58,,player.fcgi?id=bassin000ree,
Tucker DeLisle,19,2025,West Virginia,Big 12,0,0,,9,2,0,,0,0,0,1,1,1,1,1,0,0,1,0,0,0,4,1,9,9,0,9,,,player.fcgi?id=delisl000tuc,
Carson Estridge,21,2025,West Virginia,Big 12,3,1,0.75,6.14,22,3,,0,0,5,48.1,54,34,33,8,18,1,48,7,0,1,220,1.49,10.1,1.5,3.4,8.9,2.67,,player.fcgi?id=estrid000car,
Cole Fehrman*,21,2025,West Virginia,Big 12,1,0,1,13.5,14,0,,0,0,0,6.2,9,10,10,1,11,0,10,6,0,0,45,3,12.2,1.4,14.9,13.5,0.91,,player.fcgi?id=fehrma000col,
Joe Fredericks*,21,2025,West Virginia,Big 12,0,0,,9,4,0,,0,0,0,2,2,2,2,0,1,0,2,3,0,0,11,1.5,9,0,4.5,9,2,,player.fcgi?id=freder001jos,
JJ Glasscock,20,2025,West Virginia,Big 12,0,0,,7.5,12,0,,0,0,0,6,6,5,5,0,9,0,7,3,0,1,37,2.5,9,0,13.5,10.5,0.78,,player.fcgi?id=glassc000jj-,
David Hagen,20,2025,West Virginia,Big 12,2,0,1,2.35,11,7,,0,0,0,23,17,9,6,2,13,0,13,4,0,0,101,1.304,6.7,0.8,5.1,5.1,1,,player.fcgi?id=hagen-000dav,
Bryson Hoff,19,2025,West Virginia,Big 12,0,0,,27,6,0,,0,0,0,1.2,4,5,5,0,3,0,3,2,0,2,15,4.2,21.6,0,16.2,16.2,1,,player.fcgi?id=hoff--000bry,
Ben Hudson,19,2025,West Virginia,Big 12,3,1,0.75,3.95,18,1,,0,0,0,27.1,25,16,12,5,12,0,30,8,0,0,121,1.354,8.2,1.6,4,9.9,2.5,,player.fcgi?id=hudson004ben,
Tyler Hutson,22,2025,West Virginia,Big 12,2,1,0.667,4.97,14,1,,0,0,0,25.1,25,16,14,4,9,1,29,1,0,0,108,1.342,8.9,1.4,3.2,10.3,3.22,,player.fcgi?id=hutson000tyl,
Jack Kartsonas,24,2025,West Virginia,Big 12,6,4,0.6,3.66,20,9,,0,0,1,66.1,63,30,27,6,20,0,77,7,0,6,285,1.251,8.5,0.8,2.7,10.4,3.85,,player.fcgi?id=kartso000jac,
Griffin Kirn*,23,2025,West Virginia,Big 12,5,3,0.625,3.36,18,17,,1,0,1,99,86,46,37,13,30,0,103,14,3,2,420,1.172,7.8,1.2,2.7,9.4,3.43,,player.fcgi?id=kirn--000gri,
Luke Lyman,21,2025,West Virginia,Big 12,1,1,0.5,9,10,0,,0,0,0,8,5,9,8,1,10,0,11,2,1,2,42,1.875,5.6,1.1,11.3,12.4,1.1,,player.fcgi?id=lyman-000luk,
Ben McDougal*,21,2025,West Virginia,Big 12,1,1,0.5,3.63,19,0,,0,0,2,22.1,14,10,9,0,8,0,17,5,1,1,92,0.985,5.6,0,3.2,6.9,2.13,,player.fcgi?id=mcdoug000ben,
Chase Meyer,20,2025,West Virginia,Big 12,9,2,0.818,3.94,22,3,,0,0,1,48,32,25,21,1,38,0,63,12,0,4,218,1.458,6,0.2,7.1,11.8,1.66,,player.fcgi?id=meyer-006cha,
Robby Porco,21,2025,West Virginia,Big 12,0,0,,4.64,12,4,,0,0,0,21.1,16,13,11,3,20,0,24,5,2,1,109,1.688,6.8,1.3,8.4,10.1,1.2,,player.fcgi?id=porco-000rob,
Aidan Smith,19,2025,West Virginia,Big 12,0,0,,0,1,0,,0,0,0,1,0,0,0,0,2,0,2,0,0,0,5,2,0,0,18,18,1,,player.fcgi?id=smith-006aid,
Mac Stiffler,19,2025,West Virginia,Big 12,2,1,0.667,4.95,15,2,,0,0,0,20,10,11,11,1,20,0,20,6,0,3,94,1.5,4.5,0.5,9,9,1,,player.fcgi?id=stiffl000mac,
Gavin Van Kempen,20,2025,West Virginia,Big 12,2,0,1,6.13,14,13,,0,0,0,39.2,41,28,27,7,26,1,37,2,0,5,186,1.689,9.3,1.6,5.9,8.4,1.42,,player.fcgi?id=vankem000gav,
Bryant Yoak,19,2025,West Virginia,Big 12,0,0,,15.19,13,0,,0,0,0,5.1,6,14,9,0,8,0,13,5,0,0,38,2.625,10.1,0,13.5,21.9,1.63,,player.fcgi?id=yoak--000bry,
Bryce Amos,20,2024,West Virginia,Big 12,0,0,,12,4,0,,0,0,0,3,5,4,4,0,3,0,3,3,0,3,19,2.667,15,0,9,9,1,,player.fcgi?id=amos--000bry,
Tommy Beam,21,2024,West Virginia,Big 12,0,0,,6,8,0,,0,0,0,9,13,8,6,0,5,0,10,3,0,0,47,2,13,0,5,10,2,,player.fcgi?id=beam--000tom,
Derek Clark*,22,2024,West Virginia,Big 12,8,3,0.727,3.23,14,13,,4,1,0,97.2,83,38,35,10,23,1,91,9,0,1,399,1.085,7.6,0.9,2.1,8.4,3.96,,player.fcgi?id=clark-002der,
Hayden Cooper,22,2024,West Virginia,Big 12,1,4,0.2,6.4,17,8,,0,0,0,52,73,40,37,7,16,0,32,8,2,4,246,1.712,12.6,1.2,2.8,5.5,2,,player.fcgi?id=cooper001hay,
Carson Estridge,20,2024,West Virginia,Big 12,1,2,0.333,3.21,21,4,,0,0,4,42,35,15,15,2,20,1,48,6,1,2,182,1.31,7.5,0.4,4.3,10.3,2.4,,player.fcgi?id=estrid000car,
Cole Fehrman*,20,2024,West Virginia,Big 12,0,0,,18.9,5,0,,0,0,0,3.1,6,7,7,0,7,0,6,1,0,0,24,3.9,16.2,0,18.9,16.2,0.86,,player.fcgi?id=fehrma000col,
Joe Fredericks*,20,2024,West Virginia,Big 12,0,0,,1.13,18,0,,0,0,0,16,8,3,2,0,12,1,10,2,0,0,67,1.25,4.5,0,6.8,5.6,0.83,,player.fcgi?id=freder001jos,
David Hagaman,21,2024,West Virginia,Big 12,2,3,0.4,5.91,14,1,,0,0,2,35,30,25,23,3,19,3,49,4,0,5,158,1.4,7.7,0.8,4.9,12.6,2.58,,player.fcgi?id=hagama000dav,
Luke Lyman,20,2024,West Virginia,Big 12,0,0,,4.26,6,0,,0,0,1,6.1,3,3,3,1,3,0,6,2,1,0,25,0.947,4.3,1.4,4.3,8.5,2,,player.fcgi?id=lyman-000luk,
Aidan Major,21,2024,West Virginia,Big 12,5,4,0.556,5.59,14,12,,0,0,0,66,62,44,41,10,35,1,77,4,0,6,292,1.47,8.5,1.4,4.8,10.5,2.2,,player.fcgi?id=major-000aid,
Chase Meyer,19,2024,West Virginia,Big 12,1,1,0.5,8.38,13,1,,0,0,0,19.1,17,20,18,1,24,0,28,5,0,2,100,2.121,7.9,0.5,11.2,13,1.17,,player.fcgi?id=meyer-006cha,
Hambleton Oliver,23,2024,West Virginia,Big 12,2,2,0.5,4.69,21,1,,0,0,3,40.1,38,21,21,3,22,0,39,5,0,1,183,1.488,8.5,0.7,4.9,8.7,1.77,,player.fcgi?id=oliver000ham,
Robby Porco,20,2024,West Virginia,Big 12,2,1,0.667,8.71,13,1,,0,0,0,10.1,10,11,10,2,17,0,11,1,0,2,56,2.613,8.7,1.7,14.8,9.6,0.65,,player.fcgi?id=porco-000rob,
Aidan Smith,18,2024,West Virginia,Big 12,0,0,,27,3,0,,0,0,0,2,3,6,6,0,5,0,3,1,0,0,15,4,13.5,0,22.5,13.5,0.6,,player.fcgi?id=smith-006aid,
Tyler Switalski*,21,2024,West Virginia,Big 12,5,3,0.625,5.1,18,14,,0,0,0,67,67,41,38,6,35,0,58,7,0,8,304,1.522,9,0.8,4.7,7.8,1.66,,player.fcgi?id=swital000tyl,
Gavin Van Kempen,19,2024,West Virginia,Big 12,7,1,0.875,3.14,13,5,,0,0,0,28.2,20,10,10,4,14,0,35,4,0,3,119,1.186,6.3,1.3,4.4,11,2.5,,player.fcgi?id=vankem000gav,
Maxx Yehl*,20,2024,West Virginia,Big 12,2,0,1,3.99,24,0,,0,0,2,29.1,26,15,13,3,18,0,32,8,0,6,135,1.5,8,0.9,5.5,9.8,1.78,,player.fcgi?id=yehl--000max,
Keegan Allen,20,2023,West Virginia,Big 12,1,0,1,5.74,16,0,,0,0,1,15.2,15,12,10,2,7,0,17,1,0,1,69,1.404,8.6,1.1,4,9.8,2.43,,player.fcgi?id=allen-001kee,
Tommy Beam,20,2023,West Virginia,Big 12,0,0,,0,1,0,,0,0,0,1,1,0,0,0,0,0,2,0,0,1,4,1,9,0,0,18,,,player.fcgi?id=beam--000tom,
Jake Carr*,23,2023,West Virginia,Big 12,1,0,1,5.79,10,0,,0,0,0,9.1,11,6,6,2,3,0,9,1,0,0,42,1.5,10.6,1.9,2.9,8.7,3,,player.fcgi?id=carr--002jak,
Kevin Dowdell*,23,2023,West Virginia,Big 12,0,0,,4.5,11,0,,0,0,0,6,3,4,3,0,7,0,7,3,0,0,31,1.667,4.5,0,10.5,10.5,1,,player.fcgi?id=dowdel000kev,
Carson Estridge,19,2023,West Virginia,Big 12,3,1,0.75,4.91,11,5,,0,0,1,25.2,33,16,14,2,9,0,35,2,0,0,123,1.636,11.6,0.7,3.2,12.3,3.89,,player.fcgi?id=estrid000car,
Cole Fehrman*,19,2023,West Virginia,Big 12,0,1,0,0,7,0,,0,0,0,3,4,3,0,0,6,0,3,0,1,2,19,3.333,12,0,18,9,0.5,,player.fcgi?id=fehrma000col,
David Hagaman,20,2023,West Virginia,Big 12,1,2,0.333,3.52,22,1,,0,0,0,38.1,23,17,15,2,18,0,40,2,0,4,156,1.07,5.4,0.5,4.2,9.4,2.22,,player.fcgi?id=hagama000dav,
Ben Hampton*,21,2023,West Virginia,Big 12,5,3,0.625,4.45,16,16,,0,0,0,85,92,47,42,9,30,0,66,6,0,3,375,1.435,9.7,1,3.2,7,2.2,,player.fcgi?id=hampto000ben,
Michael Kilker,20,2023,West Virginia,Big 12,0,0,,18,1,0,,0,0,0,1,1,2,2,0,1,0,0,1,0,0,6,2,9,0,9,0,0,,player.fcgi?id=kilker000mic,
Aidan Major,20,2023,West Virginia,Big 12,4,2,0.667,4.88,21,3,,0,0,2,48,44,31,26,7,14,0,59,7,1,5,207,1.208,8.3,1.3,2.6,11.1,4.21,,player.fcgi?id=major-000aid,
Robby Porco,19,2023,West Virginia,Big 12,4,1,0.8,7.5,16,7,,0,0,0,36,34,32,30,7,29,0,44,1,0,3,172,1.75,8.5,1.8,7.3,11,1.52,,player.fcgi?id=porco-000rob,
Carlson Reed,20,2023,West Virginia,Big 12,2,1,0.667,2.61,25,0,,0,0,7,38,33,15,11,2,25,4,60,3,0,2,173,1.526,7.8,0.5,5.9,14.2,2.4,,player.fcgi?id=reed--003car,
Noah Short,23,2023,West Virginia,Big 12,4,0,1,3.65,24,0,,0,0,0,12.1,9,6,5,2,9,1,15,2,0,0,55,1.459,6.6,1.5,6.6,10.9,1.67,,player.fcgi?id=short-000noa,
Grant Siegel,20,2023,West Virginia,Big 12,4,3,0.571,5.65,16,9,,0,0,0,43,45,31,27,6,17,0,30,9,1,0,195,1.442,9.4,1.3,3.6,6.3,1.76,,player.fcgi?id=siegel000gra,
Chris Sleeper,20,2023,West Virginia,Big 12,0,0,,2.7,5,0,,0,0,0,3.1,2,1,1,1,2,0,4,1,0,1,15,1.2,5.4,2.7,5.4,10.8,2,,player.fcgi?id=sleepe000chr,
Blaine Traxel,23,2023,West Virginia,Big 12,7,6,0.538,3.86,16,15,,5,1,0,105,98,54,45,17,23,0,77,10,1,4,445,1.152,8.4,1.5,2,6.6,3.35,,player.fcgi?id=traxel000bla,
Gavin Van Kempen,18,2023,West Virginia,Big 12,3,0,1,5.13,12,4,,0,0,1,26.1,23,16,15,3,13,0,21,5,1,1,119,1.367,7.9,1,4.4,7.2,1.62,,player.fcgi?id=vankem000gav,
Will Watson,21,2023,West Virginia,Big 12,0,0,,4.5,3,0,,0,0,0,2,2,1,1,0,2,0,2,0,0,3,10,2,9,0,9,9,1,,player.fcgi?id=watson008wil,
Maxx Yehl*,19,2023,West Virginia,Big 12,1,0,1,3.54,17,0,,0,0,0,28,23,11,11,3,15,0,19,1,2,1,117,1.357,7.4,1,4.8,6.1,1.27,,player.fcgi?id=yehl--000max,
Ben Abernathy,19,2022,West Virginia,Big 12,1,0,1,6.39,13,1,,0,0,0,12.2,14,12,9,4,6,0,7,3,1,0,60,1.579,9.9,2.8,4.3,5,1.17,,player.fcgi?id=aberna000ben,
Tommy Beam,19,2022,West Virginia,Big 12,0,0,,inf,1,0,,0,0,0,0,3,3,3,0,2,0,0,0,0,0,5,,,,,,0,,player.fcgi?id=beam--000tom,
Trey Braithwaite,24,2022,West Virginia,Big 12,3,0,1,1.7,22,0,,0,0,8,37,18,11,7,1,20,5,36,1,0,4,145,1.027,4.4,0.2,4.9,8.8,1.8,,player.fcgi?id=braith000tre,
Zach Bravo,23,2022,West Virginia,Big 12,3,1,0.75,7.71,14,9,,0,0,0,37.1,45,39,32,6,21,0,26,3,0,0,181,1.768,10.8,1.4,5.1,6.3,1.24,,player.fcgi?id=bravo-000zac,
Kevin Dowdell*,22,2022,West Virginia,Big 12,0,0,,8.44,10,0,,0,0,0,5.1,7,6,5,0,6,0,4,1,0,2,29,2.438,11.8,0,10.1,6.8,0.67,,player.fcgi?id=dowdel000kev,
Ben Hampton*,20,2022,West Virginia,Big 12,8,5,0.615,4.66,15,15,,0,0,0,83,81,45,43,14,27,2,90,10,0,9,363,1.301,8.8,1.5,2.9,9.8,3.33,,player.fcgi?id=hampto000ben,
Trent Hodgdon,18,2022,West Virginia,Big 12,0,0,,5.63,10,0,,0,0,0,8,4,6,5,1,9,0,12,1,0,3,38,1.625,4.5,1.1,10.1,13.5,1.33,,player.fcgi?id=hodgdo000tre,
Michael Kilker,19,2022,West Virginia,Big 12,2,0,1,6.08,11,2,,0,0,0,13.1,9,10,9,0,9,0,21,2,0,2,59,1.35,6.1,0,6.1,14.2,2.33,,player.fcgi?id=kilker000mic,
Beau Lowery*,22,2022,West Virginia,Big 12,3,0,1,19.5,12,0,,0,0,0,6,14,13,13,3,2,0,11,3,0,1,38,2.667,21,4.5,3,16.5,5.5,,player.fcgi?id=lowery000bea,
Aidan Major,19,2022,West Virginia,Big 12,3,0,1,3.49,11,5,,0,0,0,28.1,17,12,11,4,21,0,31,1,0,3,120,1.341,5.4,1.3,6.7,9.8,1.48,,player.fcgi?id=major-000aid,
Deaton Oak,19,2022,West Virginia,Big 12,0,0,,9,2,0,,0,0,0,1,3,1,1,0,2,0,1,0,0,0,8,5,27,0,18,9,0.5,,player.fcgi?id=oak---000dea,
Zach Ottinger,22,2022,West Virginia,Big 12,2,2,0.5,4.84,17,0,,0,0,1,22.1,27,14,12,3,13,1,21,0,0,2,103,1.791,10.9,1.2,5.2,8.5,1.62,,player.fcgi?id=otting000zac,
Daniel Ouderkirk,22,2022,West Virginia,Big 12,1,0,1,6.75,9,0,,0,0,0,8,6,9,6,1,10,1,15,0,0,3,40,2,6.8,1.1,11.3,16.9,1.5,,player.fcgi?id=ouderk000dan,
Carlson Reed,19,2022,West Virginia,Big 12,0,1,0,5.13,18,4,,0,0,0,40.1,51,26,23,5,20,1,42,4,0,8,197,1.76,11.4,1.1,4.5,9.4,2.1,,player.fcgi?id=reed--003car,
Noah Short,22,2022,West Virginia,Big 12,0,1,0,4.25,24,0,,0,0,2,29.2,26,15,14,2,12,0,33,8,0,1,130,1.281,7.9,0.6,3.6,10,2.75,,player.fcgi?id=short-000noa,
Chris Sleeper,19,2022,West Virginia,Big 12,3,4,0.429,3.61,14,4,,0,0,0,42.1,37,17,17,1,23,1,28,4,0,4,188,1.417,7.9,0.2,4.9,6,1.22,,player.fcgi?id=sleepe000chr,
Chase Smith,23,2022,West Virginia,Big 12,1,1,0.5,3.95,25,0,,0,0,1,27.1,29,15,12,0,13,2,23,3,0,2,125,1.537,9.5,0,4.3,7.6,1.77,,player.fcgi?id=smith-059cha,
Tyler Strechay,21,2022,West Virginia,Big 12,0,0,,4.63,10,3,,0,0,0,11.2,19,6,6,2,6,0,11,2,0,2,59,2.143,14.7,1.5,4.6,8.5,1.83,,player.fcgi?id=strech000tyl,
Will Watson,20,2022,West Virginia,Big 12,0,0,,7.11,7,1,,0,0,0,6.1,6,5,5,1,7,0,9,1,0,1,31,2.053,8.5,1.4,9.9,12.8,1.29,,player.fcgi?id=watson008wil,
Jacob Watters,21,2022,West Virginia,Big 12,3,7,0.3,6.22,18,11,,0,0,1,59.1,64,44,41,8,41,0,75,1,1,15,277,1.77,9.7,1.2,6.2,11.4,1.83,,player.fcgi?id=watter000jac,
Ben Abernathy,18,2021,West Virginia,Big 12,2,0,1,2.7,8,0,,0,0,0,10,5,3,3,0,2,0,9,3,0,0,39,0.7,4.5,0,1.8,8.1,4.5,,player.fcgi?id=aberna000ben,
Nathan Blasick,20,2021,West Virginia,Big 12,0,0,,0,1,0,,0,0,0,2,1,0,0,0,0,0,2,0,0,0,7,0.5,4.5,0,0,9,,,player.fcgi?id=blasic000nat,
Jake Carr*,21,2021,West Virginia,Big 12,1,4,0.2,9.71,14,8,,0,0,0,38,60,45,41,8,15,0,38,6,1,4,196,1.974,14.2,1.9,3.6,9,2.53,,player.fcgi?id=carr--002jak,
Tyler Chadwick,19,2021,West Virginia,Big 12,1,0,1,6.75,10,0,,0,0,0,10.2,7,9,8,0,15,0,17,1,0,5,56,2.063,5.9,0,12.7,14.3,1.13,,player.fcgi?id=chadwi001tyl,
Skylar Gonzalez,20,2021,West Virginia,Big 12,1,1,0.5,4.56,20,1,,0,0,2,25.2,41,16,13,1,11,1,22,5,0,4,128,2.026,14.4,0.4,3.9,7.7,2,,player.fcgi?id=gonzal000sky,
Ben Hampton*,19,2021,West Virginia,Big 12,4,3,0.571,4.83,14,10,,0,0,0,54,61,33,29,7,15,0,47,1,0,0,235,1.407,10.2,1.2,2.5,7.8,3.13,,player.fcgi?id=hampto000ben,
Madison Jeffrey,21,2021,West Virginia,Big 12,2,2,0.5,6.75,18,0,,0,0,4,20,21,21,15,4,23,0,28,3,0,4,107,2.2,9.5,1.8,10.4,12.6,1.22,,player.fcgi?id=jeffer000mad,
Beau Lowery*,21,2021,West Virginia,Big 12,0,0,,4.61,14,0,,0,0,0,13.2,17,7,7,0,2,0,16,1,0,0,61,1.39,11.2,0,1.3,10.5,8,,player.fcgi?id=lowery000bea,
Carter Lyles,20,2021,West Virginia,Big 12,0,0,,6.75,7,0,,0,0,0,5.1,10,5,4,2,5,0,5,1,0,0,32,2.813,16.9,3.4,8.4,8.4,1,,player.fcgi?id=lyles-000car,
Zach Ottinger,21,2021,West Virginia,Big 12,0,1,0,8.66,16,0,,0,0,0,17.2,27,21,17,0,13,2,23,6,0,8,101,2.264,13.8,0,6.6,11.7,1.77,,player.fcgi?id=otting000zac,
Daniel Ouderkirk,21,2021,West Virginia,Big 12,0,0,,7.94,14,1,,0,0,0,17,17,17,15,1,19,1,23,3,0,6,88,2.118,9,0.5,10.1,12.2,1.21,,player.fcgi?id=ouderk000dan,
Carlson Reed,18,2021,West Virginia,Big 12,4,5,0.444,7.59,15,7,,0,0,0,32,37,29,27,3,19,1,34,6,0,7,156,1.75,10.4,0.8,5.3,9.6,1.79,,player.fcgi?id=reed--003car,
Trevor Sharp*,19,2021,West Virginia,Big 12,0,0,,13.5,2,0,,0,0,0,4,10,12,6,1,3,0,2,3,0,1,29,3.25,22.5,2.3,6.8,4.5,0.67,,player.fcgi?id=sharp-000tre,
Noah Short,21,2021,West Virginia,Big 12,0,0,,2.51,25,0,,0,0,0,28.2,23,11,8,2,11,1,38,7,0,1,123,1.186,7.2,0.6,3.5,11.9,3.45,,player.fcgi?id=short-000noa,
Jimmy Starnes,20,2021,West Virginia,Big 12,0,0,,9,1,0,,0,0,0,2,3,2,2,0,1,0,4,1,0,1,11,2,13.5,0,4.5,18,4,,player.fcgi?id=starne000jim,
Tyler Strechay,20,2021,West Virginia,Big 12,0,1,0,5.4,3,2,,0,0,0,10,11,6,6,2,0,0,10,0,0,1,40,1.1,9.9,1.8,0,9,,,player.fcgi?id=strech000tyl,
Adam Tulloch*,20,2021,West Virginia,Big 12,0,4,0,6.27,13,8,,0,0,0,37.1,36,32,26,3,31,1,52,10,1,8,185,1.795,8.7,0.7,7.5,12.5,1.68,,player.fcgi?id=tulloc000ada,
Jacob Watters,20,2021,West Virginia,Big 12,4,1,0.8,3.33,19,1,,0,0,4,27,15,11,10,0,32,0,53,2,0,14,127,1.741,5,0,10.7,17.7,1.66,,player.fcgi?id=watter000jac,
Jackson Wolf*,22,2021,West Virginia,Big 12,6,5,0.545,3.03,14,14,,1,0,0,89,66,39,30,4,37,1,104,7,0,5,376,1.157,6.7,0.4,3.7,10.5,2.81,,player.fcgi?id=wolf--002jac,
Tim Wynia,20,2021,West Virginia,Big 12,0,0,,7.27,10,0,,0,0,0,8.2,4,8,7,2,6,0,8,2,0,0,38,1.154,4.2,2.1,6.2,8.3,1.33,,player.fcgi?id=wynia-000tim,
Ryan Bergert,20,2020,West Virginia,Big 12,2,1,0.667,2.92,4,4,,0,0,0,24.2,14,8,8,1,11,0,30,3,0,1,100,1.014,5.1,0.4,4,10.9,2.73,,player.fcgi?id=berger001rya,
Jake Carr*,20,2020,West Virginia,Big 12,2,1,0.667,1.52,4,4,,1,0,0,23.2,14,5,4,1,3,0,12,2,1,0,88,0.718,5.3,0.4,1.1,4.6,4,,player.fcgi?id=carr--002jak,
Haden Erbe,21,2020,West Virginia,Big 12,0,0,,0,2,0,,0,0,0,2,0,0,0,0,0,0,4,0,0,1,7,0,0,0,0,18,,,player.fcgi?id=erbe--000had,
Skylar Gonzalez,19,2020,West Virginia,Big 12,0,0,,1.08,5,0,,0,0,0,8.1,2,1,1,0,4,1,12,2,0,0,33,0.72,2.2,0,4.3,13,3,,player.fcgi?id=gonzal000sky,
Brock Helverson,20,2020,West Virginia,Big 12,0,0,,27,1,0,,0,0,0,0.2,1,2,2,0,2,0,0,1,0,4,6,4.5,13.5,0,27,0,0,,player.fcgi?id=helver000bro,
Madison Jeffrey,20,2020,West Virginia,Big 12,0,1,0,1.42,6,0,,0,0,0,6.1,4,1,1,1,2,0,7,1,0,0,27,0.947,5.7,1.4,2.8,9.9,3.5,,player.fcgi?id=jeffer000mad,
Beau Lowery*,20,2020,West Virginia,Big 12,0,0,,0,2,0,,0,0,0,2.1,1,0,0,0,0,0,0,0,0,0,8,0.429,3.9,0,0,0,,,player.fcgi?id=lowery000bea,
Carter Lyles,19,2020,West Virginia,Big 12,0,0,,45,3,0,,0,0,0,1,3,5,5,0,3,0,3,0,1,1,9,6,27,0,27,27,1,,player.fcgi?id=lyles-000car,
